Pad_GR_float_ATLAS12 8x8mm2 
IV Measurement
Measurement started at 16:02:05.536 26/02/2019 by Cameron(Kostas) on epllt004.bham.ac.uk.

Pad grounded GR floating  23.4C
ATLAS12 diode
ISO7

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4303081
C33   Mar 31 2015 09:32:39/A02  /J/M

Keithley Current Range: 105uA (Auto on)
Keithley Source Voltage Range: 1.1kV
Compliance Level: 30uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
16:02:05.536	0E+0	3.648027E-10
16:02:05.916	0E+0	4.036443E-10
16:02:06.292	0E+0	4.500563E-10
16:02:06.660	0E+0	3.493327E-10
16:02:07.027	0E+0	3.659671E-10
16:02:08.205	-2E+0	-7.626615E-10
16:02:08.586	-2E+0	-6.026576E-10
16:02:08.969	-2E+0	-4.486855E-10
16:02:09.353	-2E+0	-3.986089E-10
16:02:09.737	-2E+0	-4.621186E-10
16:02:10.922	-4E+0	-9.271561E-10
16:02:11.305	-4E+0	-6.716582E-10
16:02:11.688	-4E+0	-8.479248E-10
16:02:12.064	-4E+0	-5.148569E-10
16:02:12.440	-4E+0	-7.067208E-10
16:02:13.626	-6E+0	-4.908586E-10
16:02:14.007	-6E+0	-8.677612E-10
16:02:14.390	-6E+0	-6.567271E-10
16:02:14.774	-6E+0	-8.621086E-10
16:02:15.158	-6E+0	-9.401353E-10
16:02:16.345	-8E+0	-8.294571E-10
16:02:16.725	-8E+0	-1.086661E-9
16:02:17.108	-8E+0	-9.945339E-10
16:02:17.492	-8E+0	-8.418527E-10
16:02:17.876	-8E+0	-7.226931E-10
16:02:19.063	-1E+1	-1.021945E-9
16:02:19.443	-1E+1	-5.997046E-10
16:02:19.826	-1E+1	-8.7654E-10
16:02:20.203	-1E+1	-7.505584E-10
16:02:20.579	-1E+1	-6.783968E-10
16:02:21.766	-1.2E+1	-8.230084E-10
16:02:22.147	-1.2E+1	-5.519984E-10
16:02:22.531	-1.2E+1	-5.671393E-10
16:02:22.914	-1.2E+1	-5.833173E-10
16:02:23.298	-1.2E+1	-5.471749E-10
16:02:24.484	-1.4E+1	-6.148026E-10
16:02:24.864	-1.4E+1	-1.136031E-9
16:02:25.240	-1.4E+1	-6.062346E-10
16:02:25.616	-1.4E+1	-6.538987E-10
16:02:26.000	-1.4E+1	-6.770651E-10
16:02:27.186	-1.6E+1	-9.852628E-10
16:02:27.567	-1.6E+1	-7.30885E-10
