GR_Pad_common_ATLAS12 8x8mm2 
IV Measurement
Measurement started at 16:13:21.629 26/02/2019 by Cameron(Kostas) on epllt004.bham.ac.uk.

GR Pad common 23.0C
ATLAS12 diode
ISO7

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4303081
C33   Mar 31 2015 09:32:39/A02  /J/M

Keithley Current Range: 105uA (Auto on)
Keithley Source Voltage Range: 1.1kV
Compliance Level: 30uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
16:13:21.629	0E+0	-6.516664E-11
16:13:22.001	0E+0	-1.362051E-10
16:13:22.368	0E+0	4.89604E-10
16:13:22.737	0E+0	1.644372E-10
16:13:23.113	0E+0	-6.09976E-10
16:13:24.298	-2E+0	-3.870033E-10
16:13:24.672	-2E+0	-8.606912E-10
16:13:25.048	-2E+0	-9.188363E-10
16:13:25.433	-2E+0	-8.432208E-10
16:13:25.816	-2E+0	-6.233684E-10
16:13:27.001	-4E+0	-5.008808E-10
16:13:27.384	-4E+0	-4.995502E-10
16:13:27.767	-4E+0	-3.850482E-10
16:13:28.151	-4E+0	3.798561E-10
16:13:28.535	-4E+0	-3.826777E-10
16:13:29.721	-6E+0	-4.295098E-10
16:13:30.101	-6E+0	-7.72974E-10
16:13:30.485	-6E+0	-5.328639E-10
16:13:30.861	-6E+0	-4.422372E-10
16:13:31.237	-6E+0	-6.152582E-10
16:13:32.424	-8E+0	-5.793662E-10
16:13:32.805	-8E+0	-9.299826E-10
16:13:33.188	-8E+0	-9.461204E-10
16:13:33.572	-8E+0	-9.404219E-10
16:13:33.948	-8E+0	-9.172545E-10
16:13:35.126	-1E+1	-7.477694E-10
16:13:35.506	-1E+1	-9.82596E-10
16:13:35.882	-1E+1	-1.159153E-9
16:13:36.258	-1E+1	-8.812372E-10
16:13:36.642	-1E+1	-8.842307E-10
16:13:37.828	-1.2E+1	-5.329898E-10
16:13:38.210	-1.2E+1	-4.118741E-10
16:13:38.594	-1.2E+1	-4.887793E-10
16:13:38.978	-1.2E+1	-4.499314E-10
16:13:39.361	-1.2E+1	-4.592479E-10
16:13:40.548	-1.4E+1	-5.143568E-10
16:13:40.928	-1.4E+1	-5.237981E-10
16:13:41.312	-1.4E+1	-5.292468E-10
16:13:41.696	-1.4E+1	-7.643793E-11
16:13:42.080	-1.4E+1	-5.343208E-10
16:13:43.266	-1.6E+1	-5.962925E-10
16:13:43.647	-1.6E+1	-5.244207E-10
16:13:44.031	-1.6E+1	-1.068732E-9
16:13:44.416	-1.6E+1	-7.05263E-10
16:13:44.799	-1.6E+1	-6.495719E-10
16:13:45.985	-1.8E+1	-9.470763E-10
16:13:46.366	-1.8E+1	-7.111686E-10
16:13:46.750	-1.8E+1	-5.539939E-10
16:13:47.134	-1.8E+1	-5.042501E-10
16:13:47.518	-1.8E+1	-5.1132E-10
16:13:48.704	-2E+1	-5.707551E-10
16:13:49.084	-2E+1	-6.810146E-10
16:13:49.468	-2E+1	-8.450938E-10
16:13:49.852	-2E+1	-8.87559E-10
16:13:50.236	-2E+1	-9.096415E-10
16:13:51.423	-2.2E+1	-9.603031E-10
16:13:51.804	-2.2E+1	-8.618135E-10
16:13:52.187	-2.2E+1	-8.26918E-10
16:13:52.570	-2.2E+1	-9.311052E-10
16:13:52.955	-2.2E+1	-9.571438E-10
16:13:54.141	-2.4E+1	-9.116408E-10
16:13:54.522	-2.4E+1	-6.09934E-10
16:13:54.906	-2.4E+1	-5.569473E-10
16:13:55.290	-2.4E+1	-5.258777E-10
16:13:55.674	-2.4E+1	-6.954468E-10
16:13:56.860	-2.6E+1	-6.733202E-10
16:13:57.240	-2.6E+1	-7.740539E-10
16:13:57.624	-2.6E+1	-8.481715E-10
16:13:58.008	-2.6E+1	-9.611351E-10
16:13:58.391	-2.6E+1	-9.60386E-10
16:13:59.579	-2.8E+1	-9.622994E-10
16:13:59.959	-2.8E+1	-8.85521E-10
16:14:00.344	-2.8E+1	-7.778404E-10
16:14:00.728	-2.8E+1	-7.252684E-10
16:14:01.112	-2.8E+1	-7.655291E-10
16:14:02.298	-3E+1	-7.484763E-10
16:14:02.679	-3E+1	-6.269038E-10
16:14:03.062	-3E+1	-6.218294E-10
16:14:03.446	-3E+1	-6.806404E-10
16:14:03.830	-3E+1	-6.875447E-10
16:14:05.017	-3.2E+1	-8.759966E-10
16:14:05.397	-3.2E+1	-6.117646E-10
16:14:05.780	-3.2E+1	-6.348896E-10
16:14:06.164	-3.2E+1	-6.024478E-10
16:14:06.548	-3.2E+1	-6.464522E-10
16:14:07.735	-3.4E+1	-6.141767E-10
16:14:08.116	-3.4E+1	-6.227033E-10
16:14:08.500	-3.4E+1	-6.391325E-10
16:14:08.884	-3.4E+1	-6.950308E-10
16:14:09.267	-3.4E+1	-6.94906E-10
16:14:10.454	-3.6E+1	-9.125557E-10
16:14:10.834	-3.6E+1	-9.790188E-10
16:14:11.218	-3.6E+1	-8.294137E-10
16:14:11.602	-3.6E+1	-8.08327E-10
16:14:11.986	-3.6E+1	-5.639339E-10
16:14:13.172	-3.8E+1	-7.420293E-10
16:14:13.552	-3.8E+1	-5.659317E-10
16:14:13.936	-3.8E+1	-7.504727E-10
16:14:14.320	-3.8E+1	-9.686623E-10
16:14:14.704	-3.8E+1	-9.91536E-10
16:14:15.891	-4E+1	-1.005222E-9
16:14:16.271	-4E+1	-6.396316E-10
16:14:16.647	-4E+1	-7.166581E-10
16:14:17.024	-4E+1	-7.13912E-10
16:14:17.408	-4E+1	-7.298847E-10
16:14:18.594	-4.2E+1	-7.444002E-10
16:14:18.974	-4.2E+1	-9.375912E-10
16:14:19.358	-4.2E+1	-1.025394E-9
16:14:19.742	-4.2E+1	-9.487415E-10
16:14:20.126	-4.2E+1	-9.126387E-10
16:14:21.313	-4.4E+1	-7.6923E-10
16:14:21.694	-4.4E+1	-6.082723E-10
16:14:22.077	-4.4E+1	-6.781875E-10
16:14:22.460	-4.4E+1	-5.564473E-10
16:14:22.844	-4.4E+1	-6.317283E-10
16:14:24.031	-4.6E+1	-7.608704E-10
16:14:24.412	-4.6E+1	-9.447054E-10
16:14:24.796	-4.6E+1	-1.042987E-9
16:14:25.180	-4.6E+1	-1.057043E-9
16:14:25.564	-4.6E+1	-1.014E-9
16:14:26.750	-4.8E+1	-1.013705E-9
16:14:27.130	-4.8E+1	-9.104342E-10
16:14:27.514	-4.8E+1	-6.538964E-10
16:14:27.898	-4.8E+1	-7.190707E-10
16:14:28.281	-4.8E+1	-7.340449E-10
16:14:29.468	-5E+1	-9.549794E-10
16:14:29.849	-5E+1	-1.091067E-9
16:14:30.233	-5E+1	-1.02947E-9
16:14:30.617	-5E+1	-8.969163E-10
16:14:31.001	-5E+1	-7.330887E-10
16:14:32.187	-5.2E+1	-9.118069E-10
16:14:32.568	-5.2E+1	-8.37066E-10
16:14:32.952	-5.2E+1	-6.214134E-10
16:14:33.335	-5.2E+1	-6.555598E-10
16:14:33.719	-5.2E+1	-6.469094E-10
16:14:34.904	-5.4E+1	-1.026974E-9
16:14:35.286	-5.4E+1	-6.48157E-10
16:14:35.670	-5.4E+1	-6.494038E-10
16:14:36.054	-5.4E+1	-7.325046E-10
16:14:36.438	-5.4E+1	-8.225922E-10
16:14:37.625	-5.6E+1	-1.015536E-9
16:14:38.006	-5.6E+1	-7.815E-10
16:14:38.390	-5.6E+1	-6.876697E-10
16:14:38.774	-5.6E+1	-6.429579E-10
16:14:39.157	-5.6E+1	-7.274726E-10
16:14:40.343	-5.8E+1	-6.536887E-10
16:14:40.724	-5.8E+1	-8.243392E-10
16:14:41.108	-5.8E+1	-9.825113E-10
16:14:41.492	-5.8E+1	-1.042199E-9
16:14:41.875	-5.8E+1	-1.025685E-9
16:14:43.062	-6E+1	-1.083997E-9
16:14:43.435	-6E+1	-1.001645E-9
16:14:43.811	-6E+1	-7.313821E-10
16:14:44.195	-6E+1	-8.284993E-10
16:14:44.578	-6E+1	-1.035209E-9
16:14:45.763	-6.2E+1	-7.023507E-10
16:14:46.145	-6.2E+1	-9.109755E-10
16:14:46.529	-6.2E+1	-9.807243E-10
16:14:46.913	-6.2E+1	-7.374127E-10
16:14:47.297	-6.2E+1	-6.102672E-10
16:14:48.484	-6.4E+1	-9.42002E-10
16:14:48.863	-6.4E+1	-1.300771E-9
16:14:49.247	-6.4E+1	-1.035333E-9
16:14:49.631	-6.4E+1	-6.846746E-10
16:14:50.015	-6.4E+1	-7.38785E-10
16:14:51.202	-6.6E+1	-9.977762E-10
16:14:51.583	-6.6E+1	-7.518033E-10
16:14:51.967	-6.6E+1	-6.807656E-10
16:14:52.350	-6.6E+1	-7.110856E-10
16:14:52.734	-6.6E+1	-6.843833E-10
16:14:53.922	-6.8E+1	-9.466198E-10
16:14:54.302	-6.8E+1	-7.868652E-10
16:14:54.685	-6.8E+1	-6.753994E-10
16:14:55.069	-6.8E+1	-7.318393E-10
16:14:55.453	-6.8E+1	-9.889172E-10
16:14:56.640	-7E+1	-8.346532E-10
16:14:57.020	-7E+1	-7.147034E-10
16:14:57.404	-7E+1	-7.712272E-10
16:14:57.788	-7E+1	-8.643082E-10
16:14:58.171	-7E+1	-9.723645E-10
16:14:59.357	-7.2E+1	-8.7845E-10
16:14:59.739	-7.2E+1	-7.270981E-10
16:15:00.123	-7.2E+1	-5.729593E-10
16:15:00.507	-7.2E+1	-8.897214E-10
16:15:00.891	-7.2E+1	-1.078921E-9
16:15:02.077	-7.4E+1	-6.924107E-10
16:15:02.457	-7.4E+1	-7.344182E-10
16:15:02.841	-7.4E+1	-7.644888E-10
16:15:03.225	-7.4E+1	-9.345591E-10
16:15:03.609	-7.4E+1	-9.845083E-10
16:15:04.795	-7.6E+1	-1.060081E-9
16:15:05.177	-7.6E+1	-9.728216E-10
16:15:05.560	-7.6E+1	-1.064614E-9
16:15:05.943	-7.6E+1	-1.03629E-9
16:15:06.327	-7.6E+1	-1.051304E-9
16:15:07.514	-7.8E+1	-8.527046E-10
16:15:07.895	-7.8E+1	-7.827055E-10
16:15:08.279	-7.8E+1	-1.020817E-9
16:15:08.663	-7.8E+1	-1.085785E-9
16:15:09.046	-7.8E+1	-9.825529E-10
16:15:10.232	-8E+1	-1.044277E-9
16:15:10.614	-8E+1	-8.012975E-10
16:15:10.998	-8E+1	-1.006302E-9
16:15:11.382	-8E+1	-1.078671E-9
16:15:11.765	-8E+1	-1.065238E-9
16:15:12.951	-8.2E+1	-9.959882E-10
16:15:13.332	-8.2E+1	-8.71837E-10
16:15:13.716	-8.2E+1	-8.616469E-10
16:15:14.101	-8.2E+1	-1.06349E-9
16:15:14.485	-8.2E+1	-8.421819E-10
16:15:15.671	-8.4E+1	-1.000729E-9
16:15:16.051	-8.4E+1	-1.070686E-9
16:15:16.436	-8.4E+1	-9.612593E-10
16:15:16.819	-8.4E+1	-7.731394E-10
16:15:17.203	-8.4E+1	-7.211509E-10
16:15:18.388	-8.6E+1	-6.572657E-10
16:15:18.770	-8.6E+1	-8.442199E-10
16:15:19.154	-8.6E+1	-5.497094E-10
16:15:19.537	-8.6E+1	-5.697146E-10
16:15:19.921	-8.6E+1	-8.743733E-10
16:15:21.108	-8.8E+1	-1.038287E-9
16:15:21.489	-8.8E+1	-7.394925E-10
16:15:21.873	-8.8E+1	-7.431934E-10
16:15:22.257	-8.8E+1	-8.873092E-10
