GR_Pad_float_ATLAS12 8x8mm2 
IV Measurement
Measurement started at 16:07:45.455 26/02/2019 by Cameron(Kostas) on epllt004.bham.ac.uk.

GR grounded Pad floating  23.2C
ATLAS12 diode
ISO7

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4303081
C33   Mar 31 2015 09:32:39/A02  /J/M

Keithley Current Range: 105uA (Auto on)
Keithley Source Voltage Range: 1.1kV
Compliance Level: 30uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
16:07:45.455	0E+0	-3.365533E-10
16:07:45.829	0E+0	-6.152172E-10
16:07:46.196	0E+0	-3.115152E-10
16:07:46.565	0E+0	-6.31606E-10
16:07:46.933	0E+0	-8.753747E-10
16:07:48.110	-2E+0	-5.809879E-10
16:07:48.491	-2E+0	-9.746117E-10
16:07:48.875	-2E+0	-9.849683E-10
16:07:49.259	-2E+0	-6.713671E-10
16:07:49.643	-2E+0	-6.484071E-10
16:07:50.829	-4E+0	-8.025892E-10
16:07:51.210	-4E+0	-4.420711E-10
16:07:51.593	-4E+0	-6.353899E-10
16:07:51.970	-4E+0	-5.819444E-10
16:07:52.347	-4E+0	-4.299679E-10
16:07:53.533	-6E+0	-5.084942E-10
16:07:53.913	-6E+0	-4.926052E-10
16:07:54.297	-6E+0	-5.84313E-10
16:07:54.673	-6E+0	-5.464671E-10
16:07:55.049	-6E+0	-8.513338E-10
16:07:56.236	-8E+0	-6.280276E-10
16:07:56.617	-8E+0	-9.625912E-10
16:07:57.001	-8E+0	-9.858833E-10
16:07:57.384	-8E+0	-9.353496E-10
16:07:57.768	-8E+0	-9.373453E-10
16:07:58.954	-1E+1	-1.007222E-9
16:07:59.334	-1E+1	-9.341441E-10
16:07:59.710	-1E+1	-1.008134E-9
16:08:00.086	-1E+1	-9.218332E-10
16:08:00.470	-1E+1	-8.786598E-10
16:08:01.656	-1.2E+1	-8.115741E-10
16:08:02.038	-1.2E+1	-6.073156E-10
16:08:02.422	-1.2E+1	-5.769953E-10
16:08:02.805	-1.2E+1	-6.178378E-10
16:08:03.188	-1.2E+1	-6.3776E-10
16:08:04.375	-1.4E+1	-6.113077E-10
16:08:04.756	-1.4E+1	-6.977791E-10
16:08:05.140	-1.4E+1	-7.650309E-10
16:08:05.524	-1.4E+1	-8.724187E-10
16:08:05.907	-1.4E+1	-7.367892E-10
16:08:07.093	-1.6E+1	-6.015755E-10
16:08:07.474	-1.6E+1	-8.710064E-10
16:08:07.858	-1.6E+1	-9.398385E-10
16:08:08.242	-1.6E+1	-8.947981E-10
16:08:08.625	-1.6E+1	-9.100196E-10
16:08:09.813	-1.8E+1	-6.066507E-10
16:08:10.193	-1.8E+1	-1.008051E-9
16:08:10.577	-1.8E+1	-9.871746E-10
16:08:10.962	-1.8E+1	-1.018202E-9
16:08:11.346	-1.8E+1	-9.284034E-10
16:08:12.531	-2E+1	-1.026811E-9
16:08:12.912	-2E+1	-9.771082E-10
16:08:13.296	-2E+1	-8.324508E-10
16:08:13.680	-2E+1	-6.952832E-10
16:08:14.064	-2E+1	-6.071922E-10
16:08:15.250	-2.2E+1	-7.543415E-10
16:08:15.630	-2.2E+1	-9.084392E-10
16:08:16.014	-2.2E+1	-1.024022E-9
16:08:16.398	-2.2E+1	-1.011212E-9
16:08:16.782	-2.2E+1	-9.290275E-10
16:08:17.969	-2.4E+1	-7.428623E-10
16:08:18.349	-2.4E+1	-6.533986E-10
16:08:18.733	-2.4E+1	-6.111818E-10
16:08:19.117	-2.4E+1	-7.120861E-10
16:08:19.500	-2.4E+1	-6.470777E-10
16:08:20.688	-2.6E+1	-1.020235E-9
16:08:21.068	-2.6E+1	-9.969884E-10
16:08:21.452	-2.6E+1	-1.008469E-9
16:08:21.836	-2.6E+1	-8.525836E-10
16:08:22.220	-2.6E+1	-7.349192E-10
16:08:23.406	-2.8E+1	-1.057505E-9
16:08:23.786	-2.8E+1	-9.458302E-10
16:08:24.170	-2.8E+1	-8.896789E-10
16:08:24.553	-2.8E+1	-9.679991E-10
16:08:24.937	-2.8E+1	-8.488805E-10
16:08:26.123	-3E+1	-1.016412E-9
16:08:26.504	-3E+1	-5.784088E-10
16:08:26.888	-3E+1	-6.678725E-10
16:08:27.273	-3E+1	-6.611329E-10
16:08:27.657	-3E+1	-8.094936E-10
16:08:28.843	-3.2E+1	-6.58971E-10
16:08:29.224	-3.2E+1	-8.723374E-10
16:08:29.608	-3.2E+1	-6.410037E-10
16:08:29.992	-3.2E+1	-6.794357E-10
16:08:30.376	-3.2E+1	-6.890428E-10
16:08:31.562	-3.4E+1	-6.668744E-10
16:08:31.942	-3.4E+1	-6.416276E-10
16:08:32.318	-3.4E+1	-6.573085E-10
16:08:32.694	-3.4E+1	-6.528164E-10
16:08:33.078	-3.4E+1	-6.812234E-10
16:08:34.265	-3.6E+1	-6.743194E-10
16:08:34.645	-3.6E+1	-9.910814E-10
16:08:35.028	-3.6E+1	-1.01899E-9
16:08:35.404	-3.6E+1	-1.000234E-9
16:08:35.781	-3.6E+1	-1.051766E-9
16:08:36.967	-3.8E+1	-1.022565E-9
16:08:37.347	-3.8E+1	-8.80947E-10
16:08:37.731	-3.8E+1	-7.742225E-10
16:08:38.115	-3.8E+1	-7.53924E-10
16:08:38.499	-3.8E+1	-6.521097E-10
16:08:39.686	-4E+1	-6.459543E-10
16:08:40.067	-4E+1	-9.919153E-10
16:08:40.450	-4E+1	-9.283632E-10
16:08:40.833	-4E+1	-9.854269E-10
16:08:41.218	-4E+1	-1.06125E-9
16:08:42.405	-4.2E+1	-9.641301E-10
16:08:42.785	-4.2E+1	-7.327556E-10
16:08:43.169	-4.2E+1	-6.815569E-10
16:08:43.553	-4.2E+1	-7.016466E-10
16:08:43.936	-4.2E+1	-7.236875E-10
16:08:45.123	-4.4E+1	-7.173682E-10
16:08:45.504	-4.4E+1	-6.724893E-10
16:08:45.888	-4.4E+1	-7.019783E-10
16:08:46.271	-4.4E+1	-7.392421E-10
