ATLAS17 diode
CV Measurement
Measurement started at 14:36:38.114 05/02/2019 by Cameron(Kostas) on epllt004.ph.bham.ac.uk.

2x2mm2 GR floating 21.5C 1 Vac
ATLAS diodes
ISO7

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4303081
C33   Mar 31 2015 09:32:39/A02  /J/M

WAYNE KERR
6530B
0
3.382

Wayne Kerr settings:
Function 1 - Resistance
Function 2 - Capacitance
Equivalent Circuit - Series
Measurement Frequency - 10000 Hz

Keithley Current Range: 1.05uA (Auto on)
Keithley Source Voltage Range: 1.1kV
Compliance Level: 1uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
14:36:38.114	0E+0	4.211886E-7 4.78194E+4	7.254873E-11
14:36:38.577	0E+0	4.212553E-7 4.708482E+4	7.257774E-11
14:36:39.041	0E+0	4.213429E-7 4.685838E+4	7.251671E-11
14:36:39.505	0E+0	4.215254E-7 4.740349E+4	7.24054E-11
14:36:39.969	0E+0	4.215902E-7 4.752595E+4	7.257479E-11
14:36:41.278	-2E+0	5.255451E-10 7.822484E+3	4.295855E-11
14:36:41.745	-2E+0	5.00426E-10 7.970204E+3	4.292921E-11
14:36:42.208	-2E+0	5.58357E-10 8.091124E+3	4.283475E-11
14:36:42.672	-2E+0	2.295258E-10 9.1989E+3	4.280681E-11
14:36:43.136	-2E+0	3.880155E-10 7.157975E+3	4.305584E-11
14:36:44.403	-4E+0	8.671429E-11 1.067798E+4	3.569317E-11
14:36:44.864	-4E+0	1.569557E-10 1.045158E+4	3.587496E-11
14:36:45.328	-4E+0	1.441887E-10 1.021199E+4	3.582615E-11
14:36:45.792	-4E+0	3.718798E-10 1.133556E+4	3.589626E-11
14:36:46.256	-4E+0	5.586068E-10 1.01068E+4	3.603772E-11
14:36:47.523	-6E+0	4.197465E-10 6.725631E+3	3.462493E-11
14:36:47.986	-6E+0	3.805296E-10 1.403207E+4	3.432622E-11
14:36:48.450	-6E+0	4.399162E-10 9.256197E+3	3.461044E-11
14:36:48.914	-6E+0	5.373558E-10 1.038415E+4	3.463109E-11
14:36:49.377	-6E+0	3.717133E-10 1.095339E+4	3.448043E-11
14:36:50.644	-8E+0	-1.235632E-10 8.498852E+3	3.351625E-11
14:36:51.106	-8E+0	2.923228E-10 9.731564E+3	3.368885E-11
14:36:51.570	-8E+0	1.366191E-10 1.041518E+4	3.358656E-11
14:36:52.034	-8E+0	2.886214E-10 1.263294E+4	3.368242E-11
14:36:52.498	-8E+0	4.3738E-10 1.17997E+4	3.351833E-11
14:36:53.764	-1E+1	3.89804E-10 1.088288E+4	3.300677E-11
14:36:54.226	-1E+1	2.274881E-10 1.238016E+4	3.303941E-11
