ATLAS17 diode
CV Measurement
Measurement started at 15:10:09.693 05/02/2019 by Cameron(Kostas) on epllt004.ph.bham.ac.uk.

2x2mm2 Pad low GR float 21.8C 500 mVac
Pad_low_GR_float_ATLAS_diodes
ISO7

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4303081
C33   Mar 31 2015 09:32:39/A02  /J/M

WAYNE KERR
6530B
0
3.382

Wayne Kerr settings:
Function 1 - Resistance
Function 2 - Capacitance
Equivalent Circuit - Series
Measurement Frequency - 10000 Hz

Keithley Current Range: 1.05uA (Auto on)
Keithley Source Voltage Range: 1.1kV
Compliance Level: 1uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
15:10:09.693	0E+0	1.645912E-7 3.215527E+4	8.161374E-11
15:10:10.159	0E+0	1.666806E-7 3.094958E+4	8.147885E-11
15:10:10.623	0E+0	1.671345E-7 3.195336E+4	8.085601E-11
15:10:11.087	0E+0	1.666222E-7 3.157805E+4	8.193447E-11
15:10:11.552	0E+0	1.667415E-7 3.240116E+4	8.03962E-11
15:10:12.818	-2E+0	2.200819E-10 9.46397E+3	4.094155E-11
15:10:13.279	-2E+0	-1.611195E-10 6.635913E+3	4.098855E-11
15:10:13.743	-2E+0	2.055263E-10 1.347547E+4	4.079434E-11
15:10:14.207	-2E+0	5.652539E-10 4.099425E+3	4.126619E-11
15:10:14.671	-2E+0	-9.186889E-11 3.681347E+3	4.063539E-11
15:10:15.937	-4E+0	-5.069249E-12 1.046272E+4	3.709672E-11
15:10:16.400	-4E+0	1.671004E-10 5.847616E+3	3.708491E-11
15:10:16.864	-4E+0	3.080795E-10 1.00084E+4	3.752581E-11
15:10:17.328	-4E+0	1.150341E-10 4.362022E+3	3.657056E-11
15:10:17.792	-4E+0	-8.533892E-11 3.413548E+3	3.722841E-11
15:10:19.058	-6E+0	-1.463126E-10 6.023967E+3	3.53017E-11
15:10:19.521	-6E+0	2.603762E-11 5.288526E+3	3.600743E-11
15:10:19.985	-6E+0	4.555473E-10 4.874452E+3	3.538677E-11
15:10:20.449	-6E+0	1.200241E-10 8.50065E+3	3.586802E-11
15:10:20.914	-6E+0	2.381305E-10 1.308576E+4	3.573419E-11
15:10:22.180	-8E+0	3.042531E-10 1.032565E+4	3.511223E-11
15:10:22.642	-8E+0	9.631936E-11 2.997922E+3	3.610826E-11
15:10:23.106	-8E+0	6.75706E-10 2.859759E+3	3.470664E-11
15:10:23.570	-8E+0	-5.955188E-11 1.34849E+4	3.434375E-11
15:10:24.034	-8E+0	-1.633939E-11 6.856751E+3	3.478163E-11
15:10:25.300	-1E+1	-2.209705E-10 1.241583E+4	3.426108E-11
15:10:25.762	-1E+1	2.556384E-10 3.709481E+3	3.479333E-11
15:10:26.226	-1E+1	3.56612E-10 2.41914E+4	3.424661E-11
15:10:26.690	-1E+1	1.509647E-10 1.435954E+4	3.397521E-11
15:10:27.154	-1E+1	-1.226384E-11 9.360097E+3	3.38097E-11
15:10:28.420	-1.2E+1	1.160702E-11 1.072667E+4	3.356439E-11
15:10:28.884	-1.2E+1	2.336819E-10 1.197572E+4	3.383873E-11
15:10:29.347	-1.2E+1	2.165051E-10 9.88199E+3	3.375579E-11
15:10:29.811	-1.2E+1	5.273648E-11 6.71837E+3	3.421416E-11
15:10:30.275	-1.2E+1	1.284659E-10 1.680747E+4	3.449726E-11
15:10:31.540	-1.4E+1	-4.506829E-10 1.727249E+4	3.348233E-11
15:10:32.003	-1.4E+1	4.329266E-12 1.097223E+4	3.324769E-11
15:10:32.467	-1.4E+1	1.655198E-10 1.406927E+4	3.289107E-11
15:10:32.931	-1.4E+1	2.513972E-10 1.600042E+4	3.265952E-11
15:10:33.395	-1.4E+1	-2.590435E-11 8.240144E+3	3.320252E-11
15:10:34.662	-1.6E+1	-2.690924E-10 -2.843184E+2	3.271234E-11
15:10:35.124	-1.6E+1	-3.029479E-10 1.309246E+4	3.253367E-11
15:10:35.588	-1.6E+1	-1.521357E-10 1.069067E+4	3.291953E-11
15:10:36.052	-1.6E+1	2.1742E-10 8.276621E+3	3.307138E-11
15:10:36.516	-1.6E+1	5.049058E-11 2.41743E+4	3.319269E-11
15:10:37.783	-1.8E+1	-1.55588E-10 8.963607E+3	3.305373E-11
15:10:38.245	-1.8E+1	-2.972498E-10 3.455972E+4	3.236599E-11
15:10:38.707	-1.8E+1	-5.473003E-10 1.345175E+4	3.270862E-11
15:10:39.172	-1.8E+1	4.737161E-11 1.376858E+4	3.241122E-11
15:10:39.636	-1.8E+1	1.649795E-10 1.619824E+4	3.290546E-11
15:10:40.902	-2E+1	-4.070106E-10 1.349715E+4	3.236186E-11
15:10:41.364	-2E+1	-1.011856E-10 1.051648E+4	3.264956E-11
15:10:41.828	-2E+1	-3.078972E-10 1.341952E+4	3.269961E-11
15:10:42.292	-2E+1	1.883091E-10 1.371907E+4	3.205498E-11
