ATLAS17_diode
IV Measurement
Measurement started at 14:23:12.644 05/02/2019 by Cameron(Kostas) on epllt004.ph.bham.ac.uk.

2x2 mm2 GR floating 21.5C
ATLAS17
ISO7

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4303081
C33   Mar 31 2015 09:32:39/A02  /J/M

Keithley Current Range: 1.05uA
Keithley Source Voltage Range: 1.1kV
Compliance Level: 1.05uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
14:23:12.644	0E+0	1.368745E-11
14:23:13.012	0E+0	2.035362E-10
14:23:13.380	0E+0	2.40716E-10
14:23:13.748	0E+0	3.649805E-10
14:23:14.116	0E+0	3.164473E-10
14:23:15.296	-2E+0	-2.442672E-10
14:23:15.669	-2E+0	-1.83209E-10
14:23:16.046	-2E+0	9.732122E-11
14:23:16.430	-2E+0	1.223153E-10
14:23:16.814	-2E+0	1.127086E-10
14:23:17.999	-4E+0	1.164966E-11
14:23:18.382	-4E+0	-1.331307E-10
14:23:18.766	-4E+0	-3.247564E-11
14:23:19.150	-4E+0	1.118766E-10
14:23:19.534	-4E+0	1.216911E-10
14:23:20.720	-6E+0	8.546804E-11
14:23:21.094	-6E+0	-2.267982E-10
14:23:21.462	-6E+0	-1.802145E-10
14:23:21.839	-6E+0	4.741518E-11
14:23:22.223	-6E+0	1.097972E-10
14:23:23.410	-8E+0	8.459512E-11
14:23:23.791	-8E+0	-2.369059E-10
14:23:24.175	-8E+0	-1.203204E-10
14:23:24.552	-8E+0	-1.129999E-10
14:23:24.928	-8E+0	9.495021E-11
14:23:26.115	-1E+1	-3.900574E-11
14:23:26.488	-1E+1	-2.333701E-10
14:23:26.864	-1E+1	3.53963E-11
14:23:27.240	-1E+1	1.52425E-10
14:23:27.617	-1E+1	-3.601105E-11
14:23:28.804	-1.2E+1	-1.289297E-10
14:23:29.184	-1.2E+1	1.3554E-10
14:23:29.561	-1.2E+1	1.070942E-10
14:23:29.937	-1.2E+1	-1.496015E-10
14:23:30.321	-1.2E+1	-2.3624E-10
14:23:31.508	-1.4E+1	-5.219071E-11
14:23:31.889	-1.4E+1	1.03476E-10
14:23:32.265	-1.4E+1	-3.322432E-11
14:23:32.634	-1.4E+1	-1.965602E-10
14:23:33.011	-1.4E+1	-1.674034E-10
14:23:34.197	-1.6E+1	3.527162E-11
14:23:34.579	-1.6E+1	-1.980575E-10
14:23:34.963	-1.6E+1	-2.642736E-10
14:23:35.339	-1.6E+1	-2.019253E-10
14:23:35.715	-1.6E+1	-7.864407E-11
14:23:36.901	-1.8E+1	3.552127E-11
