ATLAS17 diode
CV Measurement
Measurement started at 14:49:24.674 05/02/2019 by Cameron(Kostas) on epllt004.ph.bham.ac.uk.

2x2mm2 Pad GR common low 21.7C 1 Vac
ATLAS diodes pad and GR
ISO7

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4303081
C33   Mar 31 2015 09:32:39/A02  /J/M

WAYNE KERR
6530B
0
3.382

Wayne Kerr settings:
Function 1 - Resistance
Function 2 - Capacitance
Equivalent Circuit - Series
Measurement Frequency - 10000 Hz

Keithley Current Range: 1.05uA (Auto on)
Keithley Source Voltage Range: 1.1kV
Compliance Level: 1uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
14:49:24.674	0E+0	4.196942E-7 4.646121E+4	7.303899E-11
14:49:25.137	0E+0	4.198829E-7 4.492234E+4	7.25645E-11
14:49:25.601	0E+0	4.196208E-7 4.523386E+4	7.2687E-11
14:49:26.064	0E+0	4.195794E-7 4.573179E+4	7.278258E-11
14:49:26.528	0E+0	4.197209E-7 4.624708E+4	7.304117E-11
14:49:27.795	-2E+0	5.163919E-10 6.599957E+3	4.387664E-11
14:49:28.257	-2E+0	1.699295E-10 7.267379E+3	4.388024E-11
14:49:28.721	-2E+0	5.59809E-10 6.044244E+3	4.366922E-11
14:49:29.185	-2E+0	4.281845E-10 7.720989E+3	4.408227E-11
14:49:29.649	-2E+0	-7.743677E-11 6.105201E+3	4.388691E-11
14:49:30.915	-4E+0	-1.154936E-10 6.892233E+3	3.708626E-11
14:49:31.378	-4E+0	1.731734E-10 6.827976E+3	3.710488E-11
14:49:31.841	-4E+0	1.918456E-10 8.067592E+3	3.699125E-11
14:49:32.305	-4E+0	1.754609E-10 7.48291E+3	3.690534E-11
14:49:32.769	-4E+0	4.626199E-10 1.12109E+4	3.688591E-11
14:49:34.036	-6E+0	2.883283E-10 8.285519E+3	3.592785E-11
14:49:34.498	-6E+0	-3.488881E-12 7.6837E+3	3.524099E-11
14:49:34.962	-6E+0	2.650803E-10 8.190693E+3	3.540248E-11
14:49:35.426	-6E+0	3.786554E-10 6.648504E+3	3.569166E-11
