ATLAS17 diode
CV Measurement
Measurement started at 15:16:50.547 05/02/2019 by Cameron(Kostas) on epllt004.ph.bham.ac.uk.

2x2mm2 Pad&GR common low 21.7C 500 mVac
Pad_GR_common_ATLAS_diodes
ISO7

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4303081
C33   Mar 31 2015 09:32:39/A02  /J/M

WAYNE KERR
6530B
0
3.382

Wayne Kerr settings:
Function 1 - Resistance
Function 2 - Capacitance
Equivalent Circuit - Series
Measurement Frequency - 10000 Hz

Keithley Current Range: 1.05uA (Auto on)
Keithley Source Voltage Range: 1.1kV
Compliance Level: 1uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
15:16:50.547	0E+0	1.657836E-7 3.30377E+4	8.20606E-11
15:16:51.008	0E+0	1.658934E-7 3.286135E+4	8.198119E-11
15:16:51.472	0E+0	1.665691E-7 3.190799E+4	8.092859E-11
15:16:51.936	0E+0	1.660252E-7 3.177222E+4	8.199295E-11
15:16:52.400	0E+0	1.660478E-7 3.393874E+4	8.189576E-11
15:16:53.666	-2E+0	2.348864E-10 8.466241E+3	4.140323E-11
15:16:54.128	-2E+0	1.772057E-10 3.64615E+3	4.069037E-11
15:16:54.592	-2E+0	4.289309E-10 6.406717E+3	4.106067E-11
15:16:55.056	-2E+0	7.61251E-10 7.51571E+3	4.095286E-11
15:16:55.520	-2E+0	5.366401E-10 7.243549E+3	4.087082E-11
15:16:56.785	-4E+0	-3.821712E-12 6.653238E+3	3.700019E-11
15:16:57.248	-4E+0	5.538158E-10 5.87733E+3	3.68631E-11
15:16:57.712	-4E+0	1.385714E-10 1.591205E+4	3.701002E-11
15:16:58.177	-4E+0	6.714228E-10 8.484926E+3	3.814789E-11
15:16:58.640	-4E+0	6.117891E-10 1.112696E+4	3.674607E-11
15:16:59.905	-6E+0	1.331242E-10 1.019208E+4	3.571045E-11
15:17:00.368	-6E+0	2.558462E-10 7.808591E+3	3.537197E-11
15:17:00.832	-6E+0	6.75373E-10 9.22878E+3	3.537954E-11
15:17:01.296	-6E+0	4.006522E-10 4.636502E+3	3.469136E-11
15:17:01.760	-6E+0	5.481562E-11 7.222697E+3	3.567973E-11
15:17:03.026	-8E+0	2.026571E-10 1.726558E+4	3.493883E-11
15:17:03.488	-8E+0	-4.18753E-11 4.484175E+3	3.497572E-11
15:17:03.952	-8E+0	3.251304E-10 5.967497E+3	3.485921E-11
15:17:04.416	-8E+0	5.228342E-10 9.654796E+3	3.448983E-11
15:17:04.879	-8E+0	2.936069E-10 6.19259E+3	3.479848E-11
15:17:06.155	-1E+1	2.6495E-11 1.953121E+4	3.378173E-11
15:17:06.623	-1E+1	3.884254E-10 2.118192E+4	3.411417E-11
15:17:07.088	-1E+1	2.699855E-10 1.272297E+4	3.407172E-11
15:17:07.551	-1E+1	1.283414E-10 1.219913E+4	3.369249E-11
15:17:08.014	-1E+1	-7.273645E-11 1.293451E+4	3.388521E-11
15:17:09.290	-1.2E+1	-7.822663E-11 4.089388E+3	3.317615E-11
15:17:09.758	-1.2E+1	-1.330353E-11 1.003519E+4	3.27456E-11
15:17:10.222	-1.2E+1	1.871455E-10 2.131817E+3	3.291568E-11
15:17:10.686	-1.2E+1	6.037212E-10 6.653472E+3	3.356631E-11
15:17:11.150	-1.2E+1	2.284002E-10 1.210455E+4	3.301084E-11
15:17:12.417	-1.4E+1	3.063331E-10 1.155118E+4	3.312872E-11
15:17:12.878	-1.4E+1	9.428189E-11 1.615628E+4	3.295214E-11
15:17:13.342	-1.4E+1	3.899645E-10 1.011622E+4	3.338836E-11
15:17:13.806	-1.4E+1	3.823527E-10 5.380192E+3	3.274935E-11
15:17:14.269	-1.4E+1	1.852738E-10 9.478536E+3	3.321981E-11
15:17:15.536	-1.6E+1	4.616574E-11 1.301744E+4	3.277018E-11
15:17:15.998	-1.6E+1	-1.670672E-10 6.697998E+3	3.317425E-11
15:17:16.461	-1.6E+1	6.371539E-11 9.00392E+3	3.288402E-11
15:17:16.926	-1.6E+1	3.868454E-10 1.240857E+4	3.287725E-11
15:17:17.390	-1.6E+1	-8.234433E-11 1.832293E+4	3.274542E-11
15:17:18.655	-1.8E+1	-4.641168E-10 -3.394194E+3	3.146362E-11
15:17:19.118	-1.8E+1	-9.893936E-11 3.829755E+3	3.26816E-11
15:17:19.582	-1.8E+1	7.856211E-11 9.493103E+3	3.224517E-11
15:17:20.046	-1.8E+1	6.07214E-10 1.673019E+4	3.196094E-11
15:17:20.510	-1.8E+1	-5.630775E-11 -6.918524E+3	3.214213E-11
15:17:21.775	-2E+1	-3.926202E-10 3.177144E+3	3.219573E-11
15:17:22.239	-2E+1	-6.371113E-11 1.444058E+4	3.256101E-11
15:17:22.703	-2E+1	2.413321E-10 1.273407E+4	3.152705E-11
15:17:23.167	-2E+1	4.015245E-10 6.633461E+3	3.21097E-11
15:17:23.630	-2E+1	-1.008943E-10 7.880223E+3	3.222804E-11
15:17:24.896	-2.2E+1	-3.832217E-10 8.784809E+3	3.153542E-11
15:17:25.359	-2.2E+1	-1.453558E-10 1.80992E+4	3.225237E-11
15:17:25.823	-2.2E+1	1.650621E-10 8.007002E+3	3.228384E-11
15:17:26.287	-2.2E+1	5.959442E-10 9.912966E+3	3.165579E-11
15:17:26.751	-2.2E+1	5.190454E-11 1.005233E+4	3.214948E-11
15:17:28.018	-2.4E+1	2.314352E-10 1.930801E+4	3.12707E-11
15:17:28.479	-2.4E+1	9.569556E-11 3.883923E+3	3.182176E-11
15:17:28.943	-2.4E+1	1.349533E-10 1.0531E+4	3.187537E-11
15:17:29.407	-2.4E+1	4.302194E-10 2.216757E+4	3.16363E-11
15:17:29.871	-2.4E+1	-1.900093E-11 2.066288E+4	3.176881E-11
15:17:31.148	-2.6E+1	-1.293017E-10 1.521066E+4	3.090785E-11
15:17:31.615	-2.6E+1	1.496754E-10 1.956875E+4	3.161593E-11
15:17:32.079	-2.6E+1	4.005241E-11 8.304473E+3	3.09276E-11
15:17:32.543	-2.6E+1	2.58716E-10 1.904811E+4	3.112125E-11
15:17:33.008	-2.6E+1	3.981152E-10 1.482996E+4	3.13826E-11
