ATLAS17 diode
IV Measurement
Measurement started at 15:33:29.130 05/02/2019 by Cameron(Kostas) on epllt004.ph.bham.ac.uk.

2x2mm2 GR&Pad common 21.6C
GR&Pad_common_ATLAS17_diode
ISO7

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4303081
C33   Mar 31 2015 09:32:39/A02  /J/M

Keithley Current Range: 1.05uA (Auto on)
Keithley Source Voltage Range: 1.1kV
Compliance Level: 1uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
15:33:29.130	0E+0	-3.330185E-10
15:33:29.502	0E+0	-1.111674E-10
15:33:29.869	0E+0	-5.235737E-12
15:33:30.237	0E+0	2.630826E-10
15:33:30.605	0E+0	-1.424029E-10
15:33:31.783	-2E+0	-2.437207E-10
15:33:32.166	-2E+0	-2.486288E-10
15:33:32.550	-2E+0	8.180531E-11
15:33:32.934	-2E+0	1.884338E-10
15:33:33.318	-2E+0	-2.573634E-10
15:33:34.505	-4E+0	-1.223141E-10
15:33:34.886	-4E+0	-2.020044E-10
15:33:35.270	-4E+0	-3.008267E-10
15:33:35.654	-4E+0	7.427831E-11
15:33:36.031	-4E+0	1.942151E-10
15:33:37.210	-6E+0	-3.355143E-10
15:33:37.590	-6E+0	2.87823E-11
15:33:37.966	-6E+0	5.024122E-11
15:33:38.343	-6E+0	-1.589152E-10
15:33:38.727	-6E+0	-6.134034E-11
15:33:39.914	-8E+0	-1.434012E-10
15:33:40.295	-8E+0	-8.837504E-11
15:33:40.679	-8E+0	2.07976E-11
15:33:41.056	-8E+0	-2.596926E-10
15:33:41.432	-8E+0	9.818774E-12
15:33:42.619	-1E+1	-2.192648E-10
15:33:42.992	-1E+1	-1.698536E-10
15:33:43.369	-1E+1	-6.524994E-11
15:33:43.753	-1E+1	-2.141073E-10
15:33:44.137	-1E+1	3.947018E-11
15:33:45.324	-1.2E+1	-2.899295E-10
15:33:45.705	-1.2E+1	-2.174765E-10
15:33:46.089	-1.2E+1	-3.882525E-10
15:33:46.473	-1.2E+1	-2.44095E-10
15:33:46.857	-1.2E+1	-2.282071E-10
15:33:48.044	-1.4E+1	1.841083E-10
15:33:48.426	-1.4E+1	-1.918973E-10
15:33:48.811	-1.4E+1	4.005242E-11
15:33:49.195	-1.4E+1	3.801458E-11
15:33:49.579	-1.4E+1	-1.024332E-10
15:33:50.765	-1.6E+1	-2.495855E-10
15:33:51.147	-1.6E+1	-6.870211E-11
15:33:51.531	-1.6E+1	-1.189035E-10
15:33:51.915	-1.6E+1	-1.307571E-10
15:33:52.299	-1.6E+1	-8.072223E-11
15:33:53.486	-1.8E+1	-1.900094E-11
15:33:53.867	-1.8E+1	-2.283733E-10
15:33:54.251	-1.8E+1	-8.255217E-11
15:33:54.635	-1.8E+1	-2.399136E-11
15:33:55.019	-1.8E+1	-1.744283E-10
15:33:56.207	-2E+1	4.09673E-11
15:33:56.589	-2E+1	-1.570849E-10
15:33:56.973	-2E+1	2.375015E-11
15:33:57.357	-2E+1	-1.193196E-10
15:33:57.741	-2E+1	-3.190854E-10
15:33:58.928	-2.2E+1	6.400604E-11
15:33:59.309	-2.2E+1	-7.381785E-11
15:33:59.693	-2.2E+1	4.030637E-10
15:34:00.077	-2.2E+1	-4.633263E-10
15:34:00.462	-2.2E+1	-2.853124E-10
15:34:01.649	-2.4E+1	-2.140242E-10
15:34:02.030	-2.4E+1	-6.171463E-11
15:34:02.414	-2.4E+1	-2.080764E-10
15:34:02.798	-2.4E+1	-1.222724E-10
15:34:03.182	-2.4E+1	7.115944E-11
15:34:04.370	-2.6E+1	-3.381755E-10
15:34:04.751	-2.6E+1	-2.118616E-10
15:34:05.135	-2.6E+1	-3.458297E-10
15:34:05.519	-2.6E+1	-5.267116E-10
15:34:05.903	-2.6E+1	-9.893406E-12
15:34:07.089	-2.8E+1	9.548742E-11
15:34:07.471	-2.8E+1	-5.809619E-11
15:34:07.855	-2.8E+1	1.468439E-11
15:34:08.231	-2.8E+1	-1.293847E-10
15:34:08.607	-2.8E+1	-1.960983E-10
15:34:09.795	-3E+1	3.173481E-11
15:34:10.177	-3E+1	-2.575708E-10
15:34:10.561	-3E+1	-1.109945E-11
15:34:10.945	-3E+1	-3.730022E-11
15:34:11.329	-3E+1	-1.587901E-10
15:34:12.516	-3.2E+1	-2.060805E-10
15:34:12.897	-3.2E+1	-5.472723E-11
15:34:13.281	-3.2E+1	-2.900963E-10
15:34:13.665	-3.2E+1	-8.612908E-11
15:34:14.049	-3.2E+1	-3.351533E-11
15:34:15.236	-3.4E+1	-1.118745E-10
15:34:15.617	-3.4E+1	4.221488E-11
15:34:16.002	-3.4E+1	-7.198794E-11
15:34:16.387	-3.4E+1	1.801165E-10
15:34:16.771	-3.4E+1	-1.884035E-10
15:34:17.958	-3.6E+1	1.913416E-11
15:34:18.340	-3.6E+1	-3.452464E-10
15:34:18.723	-3.6E+1	-1.078818E-10
15:34:19.107	-3.6E+1	1.663929E-10
15:34:19.491	-3.6E+1	2.782581E-11
15:34:20.679	-3.8E+1	-3.322419E-11
15:34:21.060	-3.8E+1	-3.038628E-10
15:34:21.444	-3.8E+1	-5.547587E-11
15:34:21.828	-3.8E+1	8.879174E-11
15:34:22.213	-3.8E+1	-8.429912E-11
15:34:23.399	-4E+1	2.890694E-11
15:34:23.772	-4E+1	-2.650991E-10
15:34:24.149	-4E+1	-2.591933E-10
15:34:24.533	-4E+1	7.149203E-11
15:34:24.909	-4E+1	-8.305138E-11
15:34:26.088	-4.2E+1	-7.984872E-11
15:34:26.469	-4.2E+1	-2.923E-10
15:34:26.853	-4.2E+1	-3.383429E-10
15:34:27.238	-4.2E+1	5.502376E-11
15:34:27.622	-4.2E+1	-5.006893E-11
15:34:28.810	-4.4E+1	-2.806687E-11
15:34:29.191	-4.4E+1	-2.96709E-10
15:34:29.574	-4.4E+1	-2.998003E-11
15:34:29.958	-4.4E+1	-1.615771E-10
15:34:30.342	-4.4E+1	5.535277E-12
15:34:31.530	-4.6E+1	-8.001504E-11
15:34:31.903	-4.6E+1	1.558298E-10
15:34:32.280	-4.6E+1	-1.454809E-10
15:34:32.664	-4.6E+1	-6.678882E-11
15:34:33.048	-4.6E+1	-1.426005E-11
15:34:34.235	-4.8E+1	6.11745E-12
15:34:34.616	-4.8E+1	-1.159089E-10
15:34:35.000	-4.8E+1	-2.360266E-10
15:34:35.384	-4.8E+1	2.457833E-12
15:34:35.768	-4.8E+1	-7.814116E-12
15:34:36.956	-5E+1	-1.561699E-10
15:34:37.329	-5E+1	3.190129E-11
15:34:37.697	-5E+1	-2.341544E-10
15:34:38.074	-5E+1	-1.732642E-10
15:34:38.457	-5E+1	8.380169E-11
15:34:39.645	-5.2E+1	-2.586525E-10
