ATLAS17 diode
IV Measurement
Measurement started at 15:25:07.828 05/02/2019 by Cameron(Kostas) on epllt004.ph.bham.ac.uk.

2x2mm2 GR read Pad float 21.7C
GR_read_Pad_float_ATLAS17_diode
ISO7

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4303081
C33   Mar 31 2015 09:32:39/A02  /J/M

Keithley Current Range: 1.05uA (Auto on)
Keithley Source Voltage Range: 1.1kV
Compliance Level: 1uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
15:25:07.828	0E+0	8.654649E-11
15:25:08.198	0E+0	1.436454E-10
15:25:08.565	0E+0	1.411498E-10
15:25:08.934	0E+0	9.502979E-11
15:25:09.302	0E+0	-2.218017E-10
15:25:10.480	-2E+0	-1.885287E-10
15:25:10.862	-2E+0	-2.332815E-10
15:25:11.246	-2E+0	-1.379524E-10
15:25:11.630	-2E+0	5.73525E-11
15:25:12.014	-2E+0	4.537549E-11
15:25:13.200	-4E+0	-1.607863E-10
15:25:13.582	-4E+0	4.258932E-11
15:25:13.959	-4E+0	-2.948392E-12
15:25:14.335	-4E+0	-2.376897E-10
15:25:14.719	-4E+0	-1.970548E-10
15:25:15.906	-6E+0	6.91216E-11
15:25:16.288	-6E+0	-2.673034E-10
15:25:16.664	-6E+0	1.119146E-10
15:25:17.040	-6E+0	8.076598E-11
15:25:17.416	-6E+0	-1.692299E-10
15:25:18.595	-8E+0	1.241825E-10
15:25:18.976	-8E+0	7.111881E-13
15:25:19.361	-8E+0	-1.384935E-10
15:25:19.745	-8E+0	-5.809618E-11
15:25:20.129	-8E+0	8.995667E-11
15:25:21.316	-1E+1	-2.548263E-10
15:25:21.697	-1E+1	2.83212E-12
15:25:22.081	-1E+1	-3.147733E-11
15:25:22.465	-1E+1	-1.718085E-10
15:25:22.841	-1E+1	2.401271E-10
15:25:24.019	-1.2E+1	-1.886947E-10
15:25:24.393	-1.2E+1	-2.805293E-10
15:25:24.770	-1.2E+1	7.897393E-10
15:25:25.154	-1.2E+1	-5.091189E-10
15:25:25.538	-1.2E+1	1.63895E-11
15:25:26.725	-1.4E+1	-9.719266E-11
15:25:27.107	-1.4E+1	9.378254E-11
15:25:27.491	-1.4E+1	1.609823E-11
15:25:27.876	-1.4E+1	-2.134414E-10
15:25:28.260	-1.4E+1	-9.889808E-11
15:25:29.447	-1.6E+1	5.992651E-12
15:25:29.828	-1.6E+1	-1.76051E-10
15:25:30.212	-1.6E+1	1.273846E-10
15:25:30.596	-1.6E+1	1.109583E-10
15:25:30.980	-1.6E+1	-2.692171E-10
15:25:32.167	-1.8E+1	6.824492E-12
15:25:32.548	-1.8E+1	-3.382588E-10
15:25:32.932	-1.8E+1	-8.155404E-11
15:25:33.317	-1.8E+1	1.221029E-10
15:25:33.701	-1.8E+1	-1.095038E-10
15:25:34.888	-2E+1	-6.283763E-11
15:25:35.261	-2E+1	-2.01921E-10
15:25:35.629	-2E+1	-2.479218E-10
15:25:36.006	-2E+1	9.989586E-11
15:25:36.390	-2E+1	-2.985525E-11
15:25:37.577	-2.2E+1	4.370788E-12
15:25:37.958	-2.2E+1	-1.110843E-10
15:25:38.342	-2.2E+1	3.951181E-11
15:25:38.726	-2.2E+1	-2.731259E-10
15:25:39.110	-2.2E+1	-6.200584E-11
