ATLAS17 8x8mm2 diode GR Pad common
CV Measurement
Measurement started at 13:24:38.208 04/03/2019 by Cameron(Kostas) on epllt004.ph.bham.ac.uk.

GR Pad common 22.5C
ATLAS17 8x8mm2 diode
ISO7

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4303081
C33   Mar 31 2015 09:32:39/A02  /J/M

WAYNE KERR
6530B
0
3.382

Wayne Kerr settings:
Function 1 - Resistance
Function 2 - Capacitance
Equivalent Circuit - Series
Measurement Frequency - 10000 Hz

Keithley Current Range: 1.05uA (Auto on)
Keithley Source Voltage Range: 1.1kV
Compliance Level: 20uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
13:24:38.208	0E+0	4.346444E-7 6.209636E+3	4.532144E-10
13:24:38.673	0E+0	4.353969E-7 6.168267E+3	4.510733E-10
13:24:39.136	0E+0	4.34868E-7 6.17557E+3	4.514703E-10
13:24:39.600	0E+0	4.345606E-7 6.243756E+3	4.550034E-10
13:24:40.064	0E+0	4.349919E-7 6.216221E+3	4.545975E-10
13:24:41.330	-2E+0	-1.650681E-9 3.034246E+3	2.62475E-10
13:24:41.791	-2E+0	-1.203072E-9 2.968061E+3	2.622443E-10
13:24:42.254	-2E+0	-1.70591E-9 2.939387E+3	2.621199E-10
13:24:42.717	-2E+0	-1.589458E-9 2.992761E+3	2.622704E-10
13:24:43.181	-2E+0	-1.526655E-9 3.032113E+3	2.622765E-10
13:24:44.446	-4E+0	-2.010489E-9 2.157341E+3	1.85563E-10
13:24:44.908	-4E+0	-1.824322E-9 2.188917E+3	1.852594E-10
13:24:45.372	-4E+0	-1.406747E-9 2.164117E+3	1.85555E-10
13:24:45.837	-4E+0	-1.227735E-9 2.250471E+3	1.856545E-10
13:24:46.300	-4E+0	-1.853522E-9 2.227234E+3	1.856667E-10
13:24:47.565	-6E+0	-1.55997E-9 2.565326E+3	1.555713E-10
13:24:48.026	-6E+0	-1.576938E-9 2.451583E+3	1.55942E-10
13:24:48.490	-6E+0	-1.61408E-9 2.491362E+3	1.557168E-10
13:24:48.955	-6E+0	-1.792674E-9 2.35805E+3	1.561503E-10
13:24:49.418	-6E+0	-1.454617E-9 2.414773E+3	1.560692E-10
13:24:50.684	-8E+0	-1.75882E-9 2.362026E+3	1.376672E-10
13:24:51.145	-8E+0	-1.454493E-9 2.533168E+3	1.37766E-10
13:24:51.609	-8E+0	-1.521664E-9 2.586927E+3	1.375532E-10
13:24:52.072	-8E+0	-1.859844E-9 2.367872E+3	1.375568E-10
13:24:52.536	-8E+0	-1.877518E-9 2.415756E+3	1.375257E-10
13:24:53.803	-1E+1	-2.10453E-9 2.590145E+3	1.249428E-10
13:24:54.264	-1E+1	-1.529399E-9 2.587043E+3	1.247565E-10
13:24:54.727	-1E+1	-1.853772E-9 2.724603E+3	1.24765E-10
13:24:55.191	-1E+1	-1.701007E-9 2.562835E+3	1.247967E-10
13:24:55.655	-1E+1	-1.610419E-9 3.153365E+3	1.2479E-10
13:24:56.921	-1.2E+1	-1.768592E-9 2.451994E+3	1.150944E-10
13:24:57.383	-1.2E+1	-1.809394E-9 2.645829E+3	1.152185E-10
13:24:57.847	-1.2E+1	-1.575775E-9 2.817606E+3	1.152963E-10
13:24:58.309	-1.2E+1	-1.937373E-9 2.543498E+3	1.154867E-10
13:24:58.773	-1.2E+1	-1.802658E-9 2.734791E+3	1.149915E-10
13:25:00.039	-1.4E+1	-1.965986E-9 3.140375E+3	1.07623E-10
13:25:00.501	-1.4E+1	-1.66428E-9 3.051637E+3	1.077637E-10
13:25:00.965	-1.4E+1	-1.705668E-9 3.16046E+3	1.076698E-10
13:25:01.428	-1.4E+1	-1.272906E-9 3.225703E+3	1.076172E-10
13:25:01.892	-1.4E+1	-2.048919E-9 3.065303E+3	1.07517E-10
13:25:03.156	-1.6E+1	-2.162549E-9 3.298376E+3	1.017005E-10
13:25:03.619	-1.6E+1	-1.993977E-9 3.157787E+3	1.01677E-10
13:25:04.083	-1.6E+1	-1.525574E-9 3.508767E+3	1.014804E-10
13:25:04.547	-1.6E+1	-1.789433E-9 3.397019E+3	1.011809E-10
13:25:05.010	-1.6E+1	-1.776121E-9 3.188291E+3	1.015646E-10
13:25:06.285	-1.8E+1	-1.770421E-9 3.554633E+3	9.629519E-11
13:25:06.753	-1.8E+1	-1.938703E-9 3.569148E+3	9.622006E-11
13:25:07.216	-1.8E+1	-2.166127E-9 3.51438E+3	9.635826E-11
13:25:07.680	-1.8E+1	-1.405412E-9 2.808963E+3	9.624836E-11
13:25:08.144	-1.8E+1	-1.488932E-9 3.343084E+3	9.622287E-11
13:25:09.410	-2E+1	-1.625721E-9 2.890183E+3	9.187165E-11
13:25:09.872	-2E+1	-1.724548E-9 3.414844E+3	9.162882E-11
13:25:10.335	-2E+1	-1.5979E-9 3.579098E+3	9.163116E-11
13:25:10.799	-2E+1	-2.017686E-9 3.442974E+3	9.179784E-11
13:25:11.263	-2E+1	-1.308755E-9 3.502447E+3	9.203866E-11
13:25:12.528	-2.2E+1	-2.241072E-9 3.289013E+3	8.817009E-11
13:25:12.991	-2.2E+1	-1.934295E-9 3.045688E+3	8.793444E-11
13:25:13.454	-2.2E+1	-1.746757E-9 3.957986E+3	8.811187E-11
13:25:13.917	-2.2E+1	-1.946443E-9 3.27739E+3	8.816201E-11
13:25:14.381	-2.2E+1	-2.115136E-9 3.551357E+3	8.81674E-11
13:25:15.647	-2.4E+1	-1.866831E-9 2.997025E+3	8.485969E-11
13:25:16.109	-2.4E+1	-1.457278E-9 2.569856E+3	8.475116E-11
13:25:16.573	-2.4E+1	-2.260952E-9 2.924933E+3	8.454196E-11
13:25:17.036	-2.4E+1	-1.588082E-9 3.101917E+3	8.509461E-11
13:25:17.499	-2.4E+1	-2.06248E-9 3.129667E+3	8.475184E-11
13:25:18.765	-2.6E+1	-1.925726E-9 3.482398E+3	8.215087E-11
13:25:19.227	-2.6E+1	-2.037567E-9 3.029601E+3	8.202892E-11
13:25:19.691	-2.6E+1	-1.701131E-9 3.526408E+3	8.207793E-11
13:25:20.155	-2.6E+1	-2.027791E-9 2.691681E+3	8.214239E-11
13:25:20.618	-2.6E+1	-1.773583E-9 3.614712E+3	8.186488E-11
13:25:21.884	-2.8E+1	-2.041392E-9 3.710581E+3	7.932651E-11
13:25:22.345	-2.8E+1	-2.005539E-9 3.430323E+3	7.95882E-11
13:25:22.809	-2.8E+1	-1.703793E-9 2.432064E+3	7.932743E-11
13:25:23.273	-2.8E+1	-2.183262E-9 2.980844E+3	7.927816E-11
13:25:23.737	-2.8E+1	-2.029994E-9 3.34078E+3	7.93507E-11
13:25:25.002	-3E+1	-2.436718E-9 2.843654E+3	7.690131E-11
13:25:25.463	-3E+1	-2.036523E-9 2.878041E+3	7.708127E-11
13:25:25.927	-3E+1	-2.175651E-9 3.308538E+3	7.715317E-11
13:25:26.391	-3E+1	-1.663284E-9 3.379582E+3	7.685525E-11
13:25:26.855	-3E+1	-2.070589E-9 3.594515E+3	7.69734E-11
