ATLAS17 8x8mm2 diode GR Pad common 500mVac
CV Measurement
Measurement started at 13:18:07.384 04/03/2019 by Cameron(Kostas) on epllt004.ph.bham.ac.uk.

GR Pad common 500mVac 22.6C
ATLAS17 8x8mm2 diode
ISO7

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4303081
C33   Mar 31 2015 09:32:39/A02  /J/M

WAYNE KERR
6530B
0
3.382

Wayne Kerr settings:
Function 1 - Resistance
Function 2 - Capacitance
Equivalent Circuit - Series
Measurement Frequency - 10000 Hz

Keithley Current Range: 1.05uA (Auto on)
Keithley Source Voltage Range: 1.1kV
Compliance Level: 20uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
13:18:07.384	0E+0	1.836613E-7 3.381429E+3	5.497933E-10
13:18:07.887	0E+0	1.832959E-7 3.384651E+3	5.498179E-10
13:18:08.351	0E+0	1.833871E-7 3.411943E+3	5.50199E-10
13:18:08.814	0E+0	1.838568E-7 3.439455E+3	5.51694E-10
13:18:09.278	0E+0	1.839378E-7 3.403399E+3	5.512857E-10
13:18:10.543	-2E+0	-1.999306E-9 1.810202E+3	2.477679E-10
13:18:11.006	-2E+0	-2.083361E-9 1.850263E+3	2.474356E-10
13:18:11.470	-2E+0	-1.536181E-9 1.838912E+3	2.478478E-10
13:18:11.933	-2E+0	-2.073918E-9 1.933399E+3	2.478489E-10
13:18:12.397	-2E+0	-2.00862E-9 1.80386E+3	2.47811E-10
13:18:13.661	-4E+0	-1.813722E-9 2.156153E+3	1.838046E-10
13:18:14.124	-4E+0	-1.52674E-9 2.111655E+3	1.839603E-10
13:18:14.587	-4E+0	-1.971689E-9 2.236455E+3	1.832732E-10
13:18:15.051	-4E+0	-2.078491E-9 2.214579E+3	1.83901E-10
13:18:15.515	-4E+0	-1.597279E-9 2.151522E+3	1.840283E-10
13:18:16.779	-6E+0	-2.028044E-9 2.268551E+3	1.550457E-10
13:18:17.242	-6E+0	-1.817133E-9 2.381952E+3	1.545992E-10
13:18:17.705	-6E+0	-2.236128E-9 2.518996E+3	1.548111E-10
13:18:18.169	-6E+0	-1.736695E-9 2.404503E+3	1.551894E-10
13:18:18.633	-6E+0	-1.522623E-9 2.659633E+3	1.546418E-10
13:18:19.899	-8E+0	-1.985577E-9 2.537439E+3	1.372507E-10
13:18:20.360	-8E+0	-2.013446E-9 2.59391E+3	1.370079E-10
13:18:20.824	-8E+0	-1.967782E-9 1.995988E+3	1.37494E-10
13:18:21.288	-8E+0	-1.685161E-9 2.616534E+3	1.367243E-10
13:18:21.752	-8E+0	-1.867995E-9 2.403629E+3	1.371388E-10
13:18:23.017	-1E+1	-2.1816E-9 2.375379E+3	1.243137E-10
13:18:23.478	-1E+1	-1.865086E-9 3.038458E+3	1.243534E-10
13:18:23.942	-1E+1	-1.66865E-9 2.474011E+3	1.246557E-10
13:18:24.406	-1E+1	-1.941077E-9 2.706972E+3	1.249076E-10
13:18:24.870	-1E+1	-1.684663E-9 2.73661E+3	1.248946E-10
13:18:26.135	-1.2E+1	-2.143336E-9 3.214109E+3	1.155924E-10
13:18:26.597	-1.2E+1	-1.807401E-9 2.944236E+3	1.161176E-10
13:18:27.060	-1.2E+1	-2.110936E-9 2.664906E+3	1.149202E-10
13:18:27.524	-1.2E+1	-1.900648E-9 3.181846E+3	1.151737E-10
13:18:27.988	-1.2E+1	-1.663825E-9 3.204193E+3	1.153418E-10
13:18:29.263	-1.4E+1	-2.001509E-9 2.961776E+3	1.078775E-10
13:18:29.731	-1.4E+1	-1.96237E-9 2.630803E+3	1.07973E-10
13:18:30.195	-1.4E+1	-1.771839E-9 2.878463E+3	1.082242E-10
13:18:30.660	-1.4E+1	-1.94066E-9 4.046749E+3	1.079716E-10
13:18:31.123	-1.4E+1	-1.949187E-9 3.591651E+3	1.080806E-10
13:18:32.397	-1.6E+1	-2.573309E-9 4.030191E+3	1.018825E-10
13:18:32.865	-1.6E+1	-1.478492E-9 2.651598E+3	1.013792E-10
13:18:33.330	-1.6E+1	-2.323842E-9 3.258447E+3	1.018936E-10
13:18:33.793	-1.6E+1	-1.828488E-9 3.641985E+3	1.020782E-10
13:18:34.256	-1.6E+1	-1.865047E-9 3.273913E+3	1.020059E-10
