ATLAS17 8x8mm2 diode GR Pad Common
IV Measurement
Measurement started at 12:16:01.711 04/03/2019 by Cameron(Kostas) on epllt004.ph.bham.ac.uk.

GR Pad Common 22.4C
ATLAS17 8x8mm2 diode
ISO7

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4303081
C33   Mar 31 2015 09:32:39/A02  /J/M

Keithley Current Range: 1.05uA (Auto on)
Keithley Source Voltage Range: 1.1kV
Compliance Level: 20uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
12:16:01.711	0E+0	-6.076996E-10
12:16:02.081	0E+0	-1.427736E-9
12:16:02.448	0E+0	-5.295896E-10
12:16:02.816	0E+0	-3.331896E-10
12:16:03.184	0E+0	-5.21104E-10
12:16:04.361	-2E+0	-2.157313E-9
12:16:04.743	-2E+0	-1.613159E-9
12:16:05.127	-2E+0	-1.699088E-9
12:16:05.503	-2E+0	-1.944488E-9
12:16:05.878	-2E+0	-2.229598E-9
12:16:07.064	-4E+0	-2.121753E-9
12:16:07.446	-4E+0	-2.146959E-9
12:16:07.829	-4E+0	-2.099785E-9
12:16:08.214	-4E+0	-1.830436E-9
12:16:08.598	-4E+0	-1.70886E-9
12:16:09.785	-6E+0	-1.934045E-9
12:16:10.165	-6E+0	-1.619939E-9
12:16:10.549	-6E+0	-1.965652E-9
12:16:10.933	-6E+0	-2.172288E-9
12:16:11.316	-6E+0	-2.130111E-9
12:16:12.503	-8E+0	-1.693552E-9
12:16:12.883	-8E+0	-1.972476E-9
12:16:13.267	-8E+0	-2.111391E-9
12:16:13.642	-8E+0	-2.138764E-9
12:16:14.018	-8E+0	-2.070591E-9
12:16:15.206	-1E+1	-1.974595E-9
12:16:15.586	-1E+1	-2.068303E-9
12:16:15.971	-1E+1	-1.78011E-9
12:16:16.355	-1E+1	-1.755322E-9
12:16:16.739	-1E+1	-2.112845E-9
12:16:17.923	-1.2E+1	-2.145042E-9
12:16:18.305	-1.2E+1	-1.708114E-9
12:16:18.689	-1.2E+1	-1.77853E-9
12:16:19.072	-1.2E+1	-2.117213E-9
12:16:19.456	-1.2E+1	-2.169E-9
12:16:20.642	-1.4E+1	-1.799745E-9
12:16:21.023	-1.4E+1	-1.9345E-9
12:16:21.407	-1.4E+1	-2.1267E-9
12:16:21.791	-1.4E+1	-1.855771E-9
12:16:22.174	-1.4E+1	-1.781106E-9
12:16:23.361	-1.6E+1	-2.005336E-9
12:16:23.743	-1.6E+1	-2.019725E-9
12:16:24.126	-1.6E+1	-2.169458E-9
12:16:24.510	-1.6E+1	-2.095797E-9
12:16:24.894	-1.6E+1	-1.798617E-9
12:16:26.080	-1.8E+1	-2.058243E-9
12:16:26.460	-1.8E+1	-1.991237E-9
12:16:26.844	-1.8E+1	-1.78248E-9
12:16:27.228	-1.8E+1	-2.158561E-9
12:16:27.612	-1.8E+1	-1.772747E-9
12:16:28.798	-2E+1	-2.186181E-9
12:16:29.180	-2E+1	-1.775989E-9
12:16:29.564	-2E+1	-2.143966E-9
12:16:29.947	-2E+1	-2.090926E-9
12:16:30.323	-2E+1	-2.066188E-9
12:16:31.502	-2.2E+1	-2.073545E-9
12:16:31.882	-2.2E+1	-2.154781E-9
12:16:32.265	-2.2E+1	-2.098248E-9
12:16:32.650	-2.2E+1	-1.783147E-9
12:16:33.034	-2.2E+1	-1.995186E-9
12:16:34.220	-2.4E+1	-2.024878E-9
12:16:34.601	-2.4E+1	-1.792127E-9
12:16:34.985	-2.4E+1	-2.009616E-9
12:16:35.370	-2.4E+1	-2.129657E-9
12:16:35.753	-2.4E+1	-1.810388E-9
12:16:36.939	-2.6E+1	-1.937376E-9
12:16:37.320	-2.6E+1	-2.170293E-9
12:16:37.704	-2.6E+1	-1.916903E-9
12:16:38.088	-2.6E+1	-1.813506E-9
12:16:38.472	-2.6E+1	-1.932629E-9
12:16:39.658	-2.8E+1	-1.818047E-9
12:16:40.038	-2.8E+1	-1.762892E-9
12:16:40.422	-2.8E+1	-2.151447E-9
12:16:40.806	-2.8E+1	-2.123535E-9
12:16:41.190	-2.8E+1	-1.795454E-9
12:16:42.377	-3E+1	-2.178274E-9
12:16:42.758	-3E+1	-1.79504E-9
12:16:43.141	-3E+1	-1.863998E-9
12:16:43.517	-3E+1	-1.826776E-9
12:16:43.893	-3E+1	-2.20261E-9
12:16:45.079	-3.2E+1	-2.042059E-9
12:16:45.460	-3.2E+1	-1.828481E-9
12:16:45.844	-3.2E+1	-2.075374E-9
12:16:46.227	-3.2E+1	-2.10752E-9
12:16:46.611	-3.2E+1	-2.144871E-9
12:16:47.798	-3.4E+1	-1.941572E-9
12:16:48.179	-3.4E+1	-1.997475E-9
12:16:48.563	-3.4E+1	-2.178441E-9
12:16:48.947	-3.4E+1	-2.028751E-9
12:16:49.330	-3.4E+1	-1.863209E-9
12:16:50.517	-3.6E+1	-2.205351E-9
12:16:50.898	-3.6E+1	-1.842294E-9
12:16:51.282	-3.6E+1	-1.854518E-9
12:16:51.666	-3.6E+1	-2.205724E-9
12:16:52.050	-3.6E+1	-2.108856E-9
12:16:53.236	-3.8E+1	-2.005461E-9
12:16:53.616	-3.8E+1	-2.173743E-9
12:16:54.000	-3.8E+1	-2.166549E-9
12:16:54.384	-3.8E+1	-1.909544E-9
12:16:54.767	-3.8E+1	-1.815294E-9
12:16:55.954	-4E+1	-2.105487E-9
12:16:56.335	-4E+1	-1.81538E-9
12:16:56.718	-4E+1	-1.762351E-9
12:16:57.102	-4E+1	-1.822822E-9
12:16:57.486	-4E+1	-2.096292E-9
12:16:58.673	-4.2E+1	-2.020675E-9
12:16:59.054	-4.2E+1	-1.838296E-9
12:16:59.438	-4.2E+1	-2.010778E-9
12:16:59.822	-4.2E+1	-2.233633E-9
12:17:00.205	-4.2E+1	-2.171572E-9
12:17:01.392	-4.4E+1	-1.840504E-9
12:17:01.772	-4.4E+1	-2.163634E-9
12:17:02.156	-4.4E+1	-2.126989E-9
12:17:02.539	-4.4E+1	-1.931545E-9
12:17:02.923	-4.4E+1	-1.847489E-9
12:17:04.110	-4.6E+1	-2.125158E-9
12:17:04.490	-4.6E+1	-1.824569E-9
12:17:04.875	-4.6E+1	-1.824983E-9
12:17:05.259	-4.6E+1	-2.149322E-9
12:17:05.643	-4.6E+1	-2.172154E-9
12:17:06.829	-4.8E+1	-1.881552E-9
12:17:07.209	-4.8E+1	-1.793961E-9
12:17:07.593	-4.8E+1	-2.030121E-9
12:17:07.977	-4.8E+1	-2.163588E-9
12:17:08.362	-4.8E+1	-2.156808E-9
12:17:09.548	-5E+1	-1.823409E-9
12:17:09.928	-5E+1	-1.962281E-9
12:17:10.304	-5E+1	-2.048295E-9
12:17:10.672	-5E+1	-2.210835E-9
12:17:11.049	-5E+1	-1.911204E-9
12:17:12.235	-5.2E+1	-1.92177E-9
12:17:12.615	-5.2E+1	-2.088727E-9
12:17:12.999	-5.2E+1	-2.216704E-9
12:17:13.383	-5.2E+1	-2.023048E-9
12:17:13.767	-5.2E+1	-1.76455E-9
12:17:14.953	-5.4E+1	-2.151523E-9
12:17:15.333	-5.4E+1	-2.074291E-9
12:17:15.717	-5.4E+1	-2.009366E-9
12:17:16.101	-5.4E+1	-1.856677E-9
12:17:16.485	-5.4E+1	-1.906711E-9
12:17:17.670	-5.6E+1	-1.908583E-9
12:17:18.053	-5.6E+1	-1.827894E-9
12:17:18.437	-5.6E+1	-2.133394E-9
12:17:18.821	-5.6E+1	-2.163087E-9
12:17:19.204	-5.6E+1	-2.09114E-9
12:17:20.391	-5.8E+1	-1.863211E-9
12:17:20.771	-5.8E+1	-2.165341E-9
12:17:21.155	-5.8E+1	-2.149616E-9
12:17:21.539	-5.8E+1	-1.89149E-9
12:17:21.922	-5.8E+1	-1.828191E-9
12:17:23.109	-6E+1	-2.204055E-9
12:17:23.489	-6E+1	-1.928091E-9
12:17:23.874	-6E+1	-2.033324E-9
12:17:24.258	-6E+1	-2.061437E-9
12:17:24.641	-6E+1	-1.964196E-9
12:17:25.827	-6.2E+1	-2.095712E-9
12:17:26.209	-6.2E+1	-2.20701E-9
12:17:26.593	-6.2E+1	-1.89931E-9
12:17:26.977	-6.2E+1	-1.917322E-9
12:17:27.361	-6.2E+1	-2.254715E-9
12:17:28.547	-6.4E+1	-2.201938E-9
12:17:28.927	-6.4E+1	-2.242819E-9
12:17:29.311	-6.4E+1	-1.979003E-9
