ATLAS17 8x8mm2 diode GR Pad diff ground
IV Measurement
Measurement started at 12:23:02.721 04/03/2019 by Cameron(Kostas) on epllt004.ph.bham.ac.uk.

GR Pad diff ground 22.4C
ATLAS17 8x8mm2 diode
ISO7

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4303081
C33   Mar 31 2015 09:32:39/A02  /J/M

Keithley Current Range: 1.05uA (Auto on)
Keithley Source Voltage Range: 1.1kV
Compliance Level: 20uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
12:23:02.721	0E+0	-5.840726E-10
12:23:03.093	0E+0	-1.772819E-9
12:23:03.461	0E+0	-1.563111E-9
12:23:03.828	0E+0	-5.43852E-10
12:23:04.196	0E+0	-5.020931E-10
12:23:05.374	-2E+0	-1.995296E-9
12:23:05.756	-2E+0	-1.598298E-9
12:23:06.140	-2E+0	-2.058018E-9
12:23:06.524	-2E+0	-2.139083E-9
12:23:06.908	-2E+0	-1.663016E-9
12:23:08.092	-4E+0	-1.653488E-9
12:23:08.474	-4E+0	-1.786504E-9
12:23:08.858	-4E+0	-1.681193E-9
12:23:09.233	-4E+0	-1.749654E-9
12:23:09.601	-4E+0	-2.15946E-9
12:23:10.780	-6E+0	-1.676698E-9
12:23:11.161	-6E+0	-2.06118E-9
12:23:11.545	-6E+0	-2.115164E-9
12:23:11.929	-6E+0	-1.835371E-9
12:23:12.312	-6E+0	-1.67612E-9
12:23:13.497	-8E+0	-1.811374E-9
12:23:13.880	-8E+0	-2.071241E-9
12:23:14.264	-8E+0	-1.694875E-9
12:23:14.647	-8E+0	-1.726776E-9
12:23:15.031	-8E+0	-2.010643E-9
12:23:16.219	-1E+1	-1.778096E-9
12:23:16.600	-1E+1	-1.973711E-9
12:23:16.983	-1E+1	-2.153969E-9
12:23:17.367	-1E+1	-2.101605E-9
12:23:17.751	-1E+1	-1.748197E-9
12:23:18.937	-1.2E+1	-2.085884E-9
12:23:19.317	-1.2E+1	-2.124479E-9
12:23:19.701	-1.2E+1	-1.832962E-9
12:23:20.085	-1.2E+1	-1.698825E-9
12:23:20.469	-1.2E+1	-1.97816E-9
12:23:21.656	-1.4E+1	-1.881125E-9
12:23:22.036	-1.4E+1	-1.86195E-9
12:23:22.419	-1.4E+1	-2.114707E-9
12:23:22.803	-1.4E+1	-2.14145E-9
12:23:23.187	-1.4E+1	-2.156382E-9
12:23:24.374	-1.6E+1	-1.835249E-9
12:23:24.755	-1.6E+1	-2.170692E-9
12:23:25.139	-1.6E+1	-2.015803E-9
12:23:25.523	-1.6E+1	-1.823436E-9
12:23:25.906	-1.6E+1	-1.819402E-9
12:23:27.092	-1.8E+1	-2.179383E-9
12:23:27.473	-1.8E+1	-1.733347E-9
12:23:27.857	-1.8E+1	-1.766E-9
12:23:28.241	-1.8E+1	-2.071696E-9
12:23:28.625	-1.8E+1	-2.153389E-9
12:23:29.811	-2E+1	-1.760923E-9
12:23:30.192	-2E+1	-2.10714E-9
12:23:30.575	-2E+1	-2.182049E-9
12:23:30.952	-2E+1	-2.006276E-9
12:23:31.328	-2E+1	-1.86578E-9
12:23:32.514	-2.2E+1	-2.039216E-9
12:23:32.895	-2.2E+1	-1.794611E-9
12:23:33.279	-2.2E+1	-1.920889E-9
12:23:33.663	-2.2E+1	-2.144239E-9
12:23:34.047	-2.2E+1	-1.992429E-9
12:23:35.233	-2.4E+1	-2.159417E-9
12:23:35.613	-2.4E+1	-2.072033E-9
12:23:35.997	-2.4E+1	-1.927748E-9
12:23:36.381	-2.4E+1	-1.776683E-9
12:23:36.765	-2.4E+1	-1.855632E-9
12:23:37.952	-2.6E+1	-1.962267E-9
12:23:38.333	-2.6E+1	-1.68498E-9
12:23:38.717	-2.6E+1	-2.054064E-9
12:23:39.100	-2.6E+1	-2.137128E-9
12:23:39.483	-2.6E+1	-1.969135E-9
12:23:40.670	-2.8E+1	-2.212574E-9
12:23:41.051	-2.8E+1	-2.101812E-9
12:23:41.435	-2.8E+1	-1.879795E-9
12:23:41.819	-2.8E+1	-1.893851E-9
12:23:42.202	-2.8E+1	-1.973791E-9
12:23:43.387	-3E+1	-2.190864E-9
12:23:43.762	-3E+1	-1.963061E-9
12:23:44.138	-3E+1	-2.230791E-9
12:23:44.522	-3E+1	-1.789872E-9
12:23:44.905	-3E+1	-1.851677E-9
12:23:46.091	-3.2E+1	-1.986352E-9
12:23:46.472	-3.2E+1	-2.077855E-9
12:23:46.856	-3.2E+1	-1.812742E-9
12:23:47.240	-3.2E+1	-1.884786E-9
12:23:47.624	-3.2E+1	-2.202758E-9
12:23:48.810	-3.4E+1	-1.825306E-9
12:23:49.190	-3.4E+1	-1.940721E-9
12:23:49.574	-3.4E+1	-2.155679E-9
12:23:49.958	-3.4E+1	-1.805759E-9
12:23:50.343	-3.4E+1	-1.965893E-9
12:23:51.530	-3.6E+1	-1.805468E-9
12:23:51.911	-3.6E+1	-2.167696E-9
12:23:52.294	-3.6E+1	-1.978824E-9
12:23:52.678	-3.6E+1	-1.818986E-9
12:23:53.062	-3.6E+1	-1.891855E-9
12:23:54.248	-3.8E+1	-1.944057E-9
12:23:54.628	-3.8E+1	-1.833629E-9
12:23:55.012	-3.8E+1	-2.01584E-9
12:23:55.396	-3.8E+1	-2.163868E-9
12:23:55.780	-3.8E+1	-1.841613E-9
12:23:56.967	-4E+1	-2.088421E-9
12:23:57.348	-4E+1	-1.921011E-9
12:23:57.732	-4E+1	-2.19523E-9
12:23:58.115	-4E+1	-1.970335E-9
12:23:58.490	-4E+1	-2.076229E-9
12:23:59.670	-4.2E+1	-2.182875E-9
12:24:00.050	-4.2E+1	-2.123106E-9
12:24:00.434	-4.2E+1	-1.773152E-9
12:24:00.817	-4.2E+1	-1.989384E-9
12:24:01.201	-4.2E+1	-2.231707E-9
12:24:02.388	-4.4E+1	-1.827555E-9
12:24:02.768	-4.4E+1	-2.193609E-9
12:24:03.152	-4.4E+1	-2.145571E-9
12:24:03.537	-4.4E+1	-1.865522E-9
12:24:03.920	-4.4E+1	-2.13875E-9
12:24:05.107	-4.6E+1	-1.794693E-9
12:24:05.488	-4.6E+1	-2.171232E-9
12:24:05.871	-4.6E+1	-2.177844E-9
12:24:06.255	-4.6E+1	-1.840988E-9
12:24:06.639	-4.6E+1	-1.960726E-9
12:24:07.826	-4.8E+1	-1.81986E-9
12:24:08.206	-4.8E+1	-1.865026E-9
12:24:08.590	-4.8E+1	-2.202007E-9
12:24:08.974	-4.8E+1	-2.113129E-9
12:24:09.358	-4.8E+1	-1.798771E-9
12:24:10.545	-5E+1	-2.189858E-9
12:24:10.926	-5E+1	-1.867731E-9
12:24:11.309	-5E+1	-2.166947E-9
12:24:11.684	-5E+1	-2.144484E-9
12:24:12.061	-5E+1	-1.939603E-9
12:24:13.247	-5.2E+1	-2.182493E-9
12:24:13.628	-5.2E+1	-2.154673E-9
12:24:14.012	-5.2E+1	-1.835664E-9
12:24:14.395	-5.2E+1	-1.906081E-9
12:24:14.779	-5.2E+1	-2.053856E-9
12:24:15.963	-5.4E+1	-2.107633E-9
12:24:16.346	-5.4E+1	-1.910361E-9
12:24:16.730	-5.4E+1	-2.196685E-9
12:24:17.114	-5.4E+1	-2.159959E-9
12:24:17.489	-5.4E+1	-2.092456E-9
12:24:18.669	-5.6E+1	-2.207958E-9
12:24:19.049	-5.6E+1	-1.882788E-9
12:24:19.433	-5.6E+1	-1.853796E-9
12:24:19.817	-5.6E+1	-2.071495E-9
12:24:20.201	-5.6E+1	-2.249674E-9
12:24:21.387	-5.8E+1	-1.800637E-9
12:24:21.767	-5.8E+1	-1.914107E-9
12:24:22.151	-5.8E+1	-2.144112E-9
12:24:22.536	-5.8E+1	-2.123233E-9
12:24:22.920	-5.8E+1	-1.851764E-9
12:24:24.104	-6E+1	-1.999575E-9
12:24:24.487	-6E+1	-2.009187E-9
12:24:24.870	-6E+1	-2.230954E-9
12:24:25.254	-6E+1	-2.246298E-9
12:24:25.638	-6E+1	-1.956529E-9
12:24:26.824	-6.2E+1	-2.242228E-9
12:24:27.206	-6.2E+1	-2.119777E-9
12:24:27.589	-6.2E+1	-2.22301E-9
12:24:27.973	-6.2E+1	-1.952867E-9
12:24:28.357	-6.2E+1	-1.960939E-9
12:24:29.544	-6.4E+1	-1.896927E-9
12:24:29.925	-6.4E+1	-2.144195E-9
12:24:30.308	-6.4E+1	-1.938313E-9
12:24:30.691	-6.4E+1	-2.299995E-9
12:24:31.075	-6.4E+1	-2.149057E-9
12:24:32.262	-6.6E+1	-1.969919E-9
12:24:32.643	-6.6E+1	-1.869604E-9
12:24:33.027	-6.6E+1	-2.220723E-9
12:24:33.411	-6.6E+1	-2.06891E-9
12:24:33.795	-6.6E+1	-1.892643E-9
12:24:34.982	-6.8E+1	-1.980196E-9
12:24:35.361	-6.8E+1	-2.134003E-9
12:24:35.745	-6.8E+1	-2.035055E-9
12:24:36.129	-6.8E+1	-2.082638E-9
12:24:36.513	-6.8E+1	-2.164907E-9
12:24:37.698	-7E+1	-1.893348E-9
12:24:38.080	-7E+1	-2.044373E-9
12:24:38.463	-7E+1	-1.903167E-9
12:24:38.847	-7E+1	-2.041793E-9
12:24:39.231	-7E+1	-2.240811E-9
12:24:40.417	-7.2E+1	-1.905164E-9
12:24:40.799	-7.2E+1	-2.03996E-9
12:24:41.183	-7.2E+1	-1.900796E-9
12:24:41.567	-7.2E+1	-2.193023E-9
12:24:41.950	-7.2E+1	-2.174471E-9
12:24:43.137	-7.4E+1	-2.240397E-9
12:24:43.518	-7.4E+1	-1.897177E-9
12:24:43.902	-7.4E+1	-2.187738E-9
12:24:44.285	-7.4E+1	-2.242266E-9
12:24:44.669	-7.4E+1	-2.063547E-9
12:24:45.854	-7.6E+1	-2.118403E-9
12:24:46.236	-7.6E+1	-1.867815E-9
12:24:46.620	-7.6E+1	-2.242476E-9
12:24:47.005	-7.6E+1	-1.941557E-9
12:24:47.388	-7.6E+1	-1.925127E-9
12:24:48.574	-7.8E+1	-1.90379E-9
12:24:48.955	-7.8E+1	-2.212946E-9
12:24:49.339	-7.8E+1	-2.048697E-9
12:24:49.723	-7.8E+1	-1.936981E-9
12:24:50.107	-7.8E+1	-2.222884E-9
12:24:51.291	-8E+1	-1.95973E-9
12:24:51.673	-8E+1	-1.943635E-9
12:24:52.057	-8E+1	-2.051651E-9
12:24:52.433	-8E+1	-2.246344E-9
12:24:52.809	-8E+1	-1.962851E-9
12:24:53.996	-8.2E+1	-1.979904E-9
12:24:54.376	-8.2E+1	-2.229747E-9
12:24:54.760	-8.2E+1	-1.959443E-9
12:24:55.143	-8.2E+1	-2.022701E-9
12:24:55.526	-8.2E+1	-2.184328E-9
12:24:56.714	-8.4E+1	-2.096943E-9
12:24:57.093	-8.4E+1	-2.004815E-9
12:24:57.476	-8.4E+1	-1.950454E-9
12:24:57.860	-8.4E+1	-2.195682E-9
12:24:58.244	-8.4E+1	-2.072322E-9
12:24:59.430	-8.6E+1	-2.227541E-9
12:24:59.811	-8.6E+1	-1.967051E-9
12:25:00.195	-8.6E+1	-1.959855E-9
12:25:00.579	-8.6E+1	-2.260404E-9
12:25:00.963	-8.6E+1	-2.037424E-9
12:25:02.149	-8.8E+1	-2.234571E-9
12:25:02.530	-8.8E+1	-2.023534E-9
12:25:02.913	-8.8E+1	-2.246051E-9
12:25:03.297	-8.8E+1	-2.070324E-9
12:25:03.681	-8.8E+1	-1.899671E-9
12:25:04.867	-9E+1	-2.103808E-9
12:25:05.249	-9E+1	-2.218684E-9
12:25:05.633	-9E+1	-1.989759E-9
12:25:06.016	-9E+1	-2.148351E-9
12:25:06.400	-9E+1	-2.229084E-9
12:25:07.585	-9.2E+1	-1.937396E-9
12:25:07.966	-9.2E+1	-1.986559E-9
12:25:08.350	-9.2E+1	-1.95632E-9
12:25:08.735	-9.2E+1	-2.25454E-9
12:25:09.119	-9.2E+1	-1.944757E-9
12:25:10.305	-9.4E+1	-2.224796E-9
12:25:10.685	-9.4E+1	-1.940683E-9
12:25:11.070	-9.4E+1	-2.288763E-9
12:25:11.453	-9.4E+1	-1.917679E-9
12:25:11.837	-9.4E+1	-1.986475E-9
12:25:13.022	-9.6E+1	-2.243097E-9
12:25:13.404	-9.6E+1	-2.253165E-9
12:25:13.788	-9.6E+1	-2.094864E-9
12:25:14.172	-9.6E+1	-1.950703E-9
12:25:14.556	-9.6E+1	-2.239185E-9
12:25:15.743	-9.8E+1	-2.263063E-9
