ATLAS17 8x8mm2 diode GR Pad float
IV Measurement
Measurement started at 12:09:06.519 04/03/2019 by Cameron(Kostas) on epllt004.ph.bham.ac.uk.

GR Pad float 22.4C
ATLAS17 8x8mm2 diode
ISO7

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4303081
C33   Mar 31 2015 09:32:39/A02  /J/M

Keithley Current Range: 1.05uA (Auto on)
Keithley Source Voltage Range: 1.1kV
Compliance Level: 20uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
12:09:06.519	0E+0	-1.285554E-10
12:09:06.888	0E+0	-2.864908E-11
12:09:07.255	0E+0	-8.169194E-10
12:09:07.623	0E+0	-1.124043E-9
12:09:07.991	0E+0	-7.113559E-10
12:09:09.168	-2E+0	-1.904704E-9
12:09:09.551	-2E+0	-2.202549E-9
12:09:09.935	-2E+0	-1.902583E-9
12:09:10.318	-2E+0	-1.683013E-9
12:09:10.702	-2E+0	-1.595E-9
12:09:11.887	-4E+0	-1.646908E-9
12:09:12.269	-4E+0	-1.661089E-9
12:09:12.644	-4E+0	-1.599534E-9
12:09:13.021	-4E+0	-1.603026E-9
12:09:13.405	-4E+0	-2.130341E-9
12:09:14.592	-6E+0	-1.626941E-9
12:09:14.972	-6E+0	-1.744484E-9
12:09:15.356	-6E+0	-1.85662E-9
12:09:15.739	-6E+0	-2.059092E-9
12:09:16.115	-6E+0	-2.070072E-9
12:09:17.294	-8E+0	-1.683425E-9
12:09:17.674	-8E+0	-2.101145E-9
12:09:18.058	-8E+0	-1.983976E-9
12:09:18.442	-8E+0	-1.723478E-9
12:09:18.826	-8E+0	-1.700062E-9
12:09:20.013	-1E+1	-2.151469E-9
12:09:20.394	-1E+1	-1.664082E-9
12:09:20.778	-1E+1	-1.807246E-9
12:09:21.161	-1E+1	-2.096319E-9
12:09:21.536	-1E+1	-2.051689E-9
12:09:22.715	-1.2E+1	-1.686961E-9
12:09:23.095	-1.2E+1	-1.90021E-9
12:09:23.479	-1.2E+1	-2.024818E-9
12:09:23.863	-1.2E+1	-2.101687E-9
12:09:24.247	-1.2E+1	-1.74802E-9
12:09:25.434	-1.4E+1	-1.836737E-9
12:09:25.815	-1.4E+1	-2.104976E-9
12:09:26.199	-1.4E+1	-1.697901E-9
12:09:26.583	-1.4E+1	-1.845059E-9
12:09:26.966	-1.4E+1	-2.079388E-9
