ATLAS17 8x8mm2 diode Pad GR diff ground
CV Measurement
Measurement started at 13:33:59.278 04/03/2019 by Cameron(Kostas) on epllt004.ph.bham.ac.uk.

Pad GR diff ground 22.6C
ATLAS17 8x8mm2 diode
ISO7

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4303081
C33   Mar 31 2015 09:32:39/A02  /J/M

WAYNE KERR
6530B
0
3.382

Wayne Kerr settings:
Function 1 - Resistance
Function 2 - Capacitance
Equivalent Circuit - Series
Measurement Frequency - 10000 Hz

Keithley Current Range: 1.05uA (Auto on)
Keithley Source Voltage Range: 1.1kV
Compliance Level: 20uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
13:33:59.278	0E+0	4.314462E-7 6.345831E+3	4.619999E-10
13:33:59.740	0E+0	4.31492E-7 6.286838E+3	4.613772E-10
13:34:00.204	0E+0	4.31884E-7 6.31053E+3	4.613206E-10
13:34:00.667	0E+0	4.316076E-7 6.344455E+3	4.619373E-10
13:34:01.130	0E+0	4.31505E-7 6.38413E+3	4.635471E-10
13:34:02.397	-2E+0	-2.232878E-9 3.126024E+3	2.62223E-10
13:34:02.857	-2E+0	-1.243289E-9 3.169697E+3	2.619055E-10
13:34:03.322	-2E+0	-2.229505E-9 3.182134E+3	2.619898E-10
13:34:03.785	-2E+0	-1.827731E-9 3.168618E+3	2.618137E-10
13:34:04.249	-2E+0	-1.405746E-9 3.248678E+3	2.620944E-10
13:34:05.513	-4E+0	-1.92131E-9 2.509496E+3	1.851986E-10
13:34:05.975	-4E+0	-1.697049E-9 2.369106E+3	1.852866E-10
13:34:06.440	-4E+0	-1.570279E-9 2.479133E+3	1.854957E-10
13:34:06.903	-4E+0	-1.610581E-9 2.540984E+3	1.854774E-10
13:34:07.366	-4E+0	-2.158635E-9 2.416405E+3	1.85975E-10
13:34:08.632	-6E+0	-1.876351E-9 2.84391E+3	1.560035E-10
13:34:09.094	-6E+0	-1.780524E-9 2.540023E+3	1.561908E-10
13:34:09.558	-6E+0	-1.998551E-9 2.924569E+3	1.562122E-10
13:34:10.022	-6E+0	-1.261837E-9 2.915712E+3	1.560261E-10
13:34:10.485	-6E+0	-1.711192E-9 2.855083E+3	1.558759E-10
13:34:11.751	-8E+0	-2.269807E-9 3.080658E+3	1.37853E-10
13:34:12.212	-8E+0	-2.072535E-9 2.955749E+3	1.380414E-10
13:34:12.676	-8E+0	-2.072579E-9 3.050311E+3	1.381169E-10
13:34:13.140	-8E+0	-1.882175E-9 2.933112E+3	1.375886E-10
13:34:13.604	-8E+0	-2.046875E-9 3.278228E+3	1.379021E-10
13:34:14.870	-1E+1	-1.897937E-9 3.903534E+3	1.253202E-10
13:34:15.331	-1E+1	-1.294111E-9 3.278983E+3	1.251837E-10
13:34:15.795	-1E+1	-2.136798E-9 3.946966E+3	1.248588E-10
13:34:16.258	-1E+1	-1.847073E-9 3.292355E+3	1.251377E-10
13:34:16.722	-1E+1	-1.948637E-9 3.813572E+3	1.25105E-10
13:34:17.987	-1.2E+1	-2.334065E-9 3.308436E+3	1.158121E-10
13:34:18.449	-1.2E+1	-2.224604E-9 3.976624E+3	1.156465E-10
13:34:18.913	-1.2E+1	-1.440888E-9 3.993807E+3	1.155548E-10
13:34:19.377	-1.2E+1	-1.386781E-9 4.221918E+3	1.154996E-10
13:34:19.840	-1.2E+1	-1.806977E-9 4.095027E+3	1.155897E-10
13:34:21.106	-1.4E+1	-2.692416E-9 4.369981E+3	1.085598E-10
13:34:21.568	-1.4E+1	-2.229962E-9 4.077449E+3	1.082936E-10
13:34:22.032	-1.4E+1	-2.335478E-9 4.564568E+3	1.078805E-10
13:34:22.495	-1.4E+1	-1.717806E-9 4.094992E+3	1.07785E-10
13:34:22.958	-1.4E+1	-1.615452E-9 4.412337E+3	1.081516E-10
13:34:24.224	-1.6E+1	-2.070418E-9 4.926989E+3	1.020275E-10
13:34:24.686	-1.6E+1	-1.633459E-9 4.365841E+3	1.02132E-10
13:34:25.150	-1.6E+1	-1.822698E-9 5.356357E+3	1.01985E-10
13:34:25.614	-1.6E+1	-2.501888E-9 4.265349E+3	1.018129E-10
13:34:26.077	-1.6E+1	-1.8034E-9 4.323968E+3	1.021315E-10
13:34:27.352	-1.8E+1	-2.027829E-9 4.685648E+3	9.684024E-11
13:34:27.819	-1.8E+1	-1.761268E-9 5.301351E+3	9.674192E-11
13:34:28.283	-1.8E+1	-1.944934E-9 4.915848E+3	9.628461E-11
13:34:28.748	-1.8E+1	-1.576187E-9 4.079485E+3	9.688843E-11
13:34:29.211	-1.8E+1	-1.747122E-9 4.398405E+3	9.682793E-11
13:34:30.477	-2E+1	-2.379573E-9 5.214053E+3	9.213888E-11
13:34:30.939	-2E+1	-1.914653E-9 5.289579E+3	9.196344E-11
13:34:31.403	-2E+1	-1.777453E-9 5.047103E+3	9.190948E-11
13:34:31.867	-2E+1	-1.904842E-9 6.380996E+3	9.157769E-11
13:34:32.330	-2E+1	-1.672806E-9 4.827897E+3	9.214133E-11
13:34:33.595	-2.2E+1	-1.941276E-9 5.462717E+3	8.850957E-11
13:34:34.057	-2.2E+1	-1.899851E-9 5.872855E+3	8.809831E-11
13:34:34.520	-2.2E+1	-1.896727E-9 4.593131E+3	8.842404E-11
13:34:34.984	-2.2E+1	-2.045625E-9 5.323065E+3	8.861566E-11
13:34:35.448	-2.2E+1	-2.029201E-9 5.858131E+3	8.833959E-11
13:34:36.714	-2.4E+1	-1.835422E-9 4.49362E+3	8.499668E-11
13:34:37.175	-2.4E+1	-1.95799E-9 5.328469E+3	8.509063E-11
13:34:37.640	-2.4E+1	-1.525152E-9 4.843125E+3	8.507876E-11
13:34:38.103	-2.4E+1	-2.180594E-9 5.068905E+3	8.521589E-11
13:34:38.566	-2.4E+1	-2.031693E-9 4.268351E+3	8.530606E-11
13:34:39.832	-2.6E+1	-2.474729E-9 5.394319E+3	8.168026E-11
13:34:40.294	-2.6E+1	-2.180055E-9 5.805901E+3	8.206382E-11
13:34:40.758	-2.6E+1	-1.887212E-9 4.854056E+3	8.210937E-11
13:34:41.221	-2.6E+1	-1.347973E-9 5.406533E+3	8.163685E-11
13:34:41.685	-2.6E+1	-2.058688E-9 4.655182E+3	8.212934E-11
13:34:42.951	-2.8E+1	-2.161711E-9 5.086649E+3	7.934791E-11
13:34:43.412	-2.8E+1	-2.272885E-9 5.63079E+3	7.926407E-11
13:34:43.876	-2.8E+1	-2.130849E-9 5.349404E+3	7.931022E-11
13:34:44.339	-2.8E+1	-2.177765E-9 5.772932E+3	7.94727E-11
13:34:44.802	-2.8E+1	-2.083354E-9 4.92267E+3	7.883991E-11
13:34:46.068	-3E+1	-2.041511E-9 5.124423E+3	7.687723E-11
13:34:46.530	-3E+1	-1.69218E-9 4.972335E+3	7.700504E-11
13:34:46.994	-3E+1	-2.125899E-9 4.954755E+3	7.683964E-11
13:34:47.459	-3E+1	-1.88754E-9 5.845407E+3	7.673594E-11
13:34:47.922	-3E+1	-2.54273E-9 5.468104E+3	7.736562E-11
13:34:49.188	-3.2E+1	-1.924888E-9 5.209987E+3	7.478803E-11
