ATLAS17 8x8mm2 diode Pad GR diff ground 500mVac
CV Measurement
Measurement started at 13:41:09.043 04/03/2019 by Cameron(Kostas) on epllt004.ph.bham.ac.uk.

Pad GR diff ground 500mVac 22.6C
ATLAS17 8x8mm2 diode
ISO7

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4303081
C33   Mar 31 2015 09:32:39/A02  /J/M

WAYNE KERR
6530B
0
3.382

Wayne Kerr settings:
Function 1 - Resistance
Function 2 - Capacitance
Equivalent Circuit - Series
Measurement Frequency - 10000 Hz

Keithley Current Range: 1.05uA (Auto on)
Keithley Source Voltage Range: 1.1kV
Compliance Level: 20uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
13:41:09.043	0E+0	1.747747E-7 5.165191E+3	5.759888E-10
13:41:09.504	0E+0	1.753199E-7 5.117168E+3	5.729482E-10
13:41:09.968	0E+0	1.748369E-7 5.073553E+3	5.730098E-10
13:41:10.431	0E+0	1.750943E-7 5.134075E+3	5.737628E-10
13:41:10.895	0E+0	1.754936E-7 5.151659E+3	5.76675E-10
13:41:12.161	-2E+0	-2.041594E-9 2.245011E+3	2.480167E-10
13:41:12.623	-2E+0	-2.080356E-9 2.084297E+3	2.482004E-10
13:41:13.086	-2E+0	-1.745503E-9 2.201656E+3	2.467845E-10
13:41:13.550	-2E+0	-1.434439E-9 2.057224E+3	2.477579E-10
13:41:14.014	-2E+0	-1.854594E-9 2.342554E+3	2.476051E-10
13:41:15.289	-4E+0	-1.959406E-9 2.356816E+3	1.844975E-10
13:41:15.757	-4E+0	-1.552559E-9 2.721565E+3	1.843151E-10
13:41:16.221	-4E+0	-1.682118E-9 2.620796E+3	1.839492E-10
13:41:16.685	-4E+0	-1.781648E-9 2.984232E+3	1.853076E-10
13:41:17.148	-4E+0	-1.443715E-9 2.543363E+3	1.839139E-10
13:41:18.413	-6E+0	-2.19244E-9 3.109726E+3	1.560588E-10
13:41:18.875	-6E+0	-1.849232E-9 2.463566E+3	1.551988E-10
13:41:19.339	-6E+0	-1.679456E-9 2.554827E+3	1.552442E-10
13:41:19.803	-6E+0	-1.496328E-9 2.843832E+3	1.561302E-10
13:41:20.266	-6E+0	-1.830304E-9 2.089258E+3	1.55926E-10
13:41:21.532	-8E+0	-1.853766E-9 2.929895E+3	1.375708E-10
13:41:21.993	-8E+0	-1.448288E-9 2.798873E+3	1.380063E-10
13:41:22.458	-8E+0	-1.801821E-9 2.948571E+3	1.378313E-10
13:41:22.921	-8E+0	-1.703577E-9 2.571042E+3	1.380581E-10
13:41:23.386	-8E+0	-1.64094E-9 3.098594E+3	1.380546E-10
13:41:24.650	-1E+1	-2.238567E-9 2.998601E+3	1.249452E-10
13:41:25.111	-1E+1	-1.466671E-9 2.767774E+3	1.249297E-10
13:41:25.575	-1E+1	-1.999668E-9 3.739089E+3	1.25189E-10
13:41:26.039	-1E+1	-1.51413E-9 3.220073E+3	1.258107E-10
13:41:26.503	-1E+1	-2.093292E-9 2.997445E+3	1.24866E-10
13:41:27.768	-1.2E+1	-1.980781E-9 3.328795E+3	1.151656E-10
13:41:28.231	-1.2E+1	-1.720507E-9 4.88949E+3	1.15228E-10
13:41:28.693	-1.2E+1	-1.93362E-9 3.625505E+3	1.156765E-10
13:41:29.157	-1.2E+1	-1.905381E-9 3.186542E+3	1.156753E-10
13:41:29.622	-1.2E+1	-1.655166E-9 4.023585E+3	1.149855E-10
13:41:30.887	-1.4E+1	-2.203463E-9 4.922643E+3	1.08439E-10
13:41:31.349	-1.4E+1	-2.102813E-9 3.121563E+3	1.089415E-10
13:41:31.813	-1.4E+1	-1.734437E-9 3.327943E+3	1.083508E-10
13:41:32.276	-1.4E+1	-1.821407E-9 3.327399E+3	1.084881E-10
13:41:32.740	-1.4E+1	-2.044295E-9 4.968319E+3	1.072059E-10
13:41:34.015	-1.6E+1	-2.369E-9 4.192461E+3	1.014677E-10
13:41:34.483	-1.6E+1	-1.740761E-9 4.36368E+3	1.021706E-10
13:41:34.947	-1.6E+1	-1.766505E-9 4.937121E+3	1.014195E-10
13:41:35.410	-1.6E+1	-2.099405E-9 5.114664E+3	1.013389E-10
13:41:35.873	-1.6E+1	-2.10502E-9 4.859246E+3	1.020071E-10
13:41:37.138	-1.8E+1	-1.777441E-9 5.516592E+3	9.638978E-11
13:41:37.600	-1.8E+1	-1.72741E-9 5.08492E+3	9.607473E-11
13:41:38.065	-1.8E+1	-1.800447E-9 4.75039E+3	9.622934E-11
13:41:38.530	-1.8E+1	-1.742257E-9 5.984609E+3	9.634612E-11
13:41:38.993	-1.8E+1	-2.266602E-9 4.902671E+3	9.65916E-11
13:41:40.257	-2E+1	-2.464535E-9 4.092961E+3	9.279882E-11
13:41:40.719	-2E+1	-2.024207E-9 5.271227E+3	9.259074E-11
13:41:41.183	-2E+1	-1.528935E-9 4.60739E+3	9.247708E-11
13:41:41.647	-2E+1	-1.686277E-9 5.029835E+3	9.217559E-11
13:41:42.111	-2E+1	-1.993091E-9 6.046468E+3	9.160238E-11
13:41:43.376	-2.2E+1	-2.203341E-9 4.076154E+3	8.849626E-11
13:41:43.838	-2.2E+1	-1.82332E-9 4.380533E+3	8.887694E-11
13:41:44.302	-2.2E+1	-2.048289E-9 5.665251E+3	8.883135E-11
13:41:44.765	-2.2E+1	-1.798112E-9 4.891524E+3	8.849347E-11
13:41:45.229	-2.2E+1	-1.536091E-9 4.664351E+3	8.739533E-11
13:41:46.495	-2.4E+1	-2.061681E-9 3.825736E+3	8.567288E-11
13:41:46.956	-2.4E+1	-2.19702E-9 5.966655E+3	8.452915E-11
13:41:47.420	-2.4E+1	-1.684941E-9 3.94997E+3	8.55428E-11
13:41:47.883	-2.4E+1	-1.853556E-9 4.005963E+3	8.533403E-11
13:41:48.347	-2.4E+1	-2.168569E-9 5.752935E+3	8.484866E-11
13:41:49.614	-2.6E+1	-2.346872E-9 7.479629E+3	8.197069E-11
13:41:50.075	-2.6E+1	-1.600224E-9 6.159792E+3	8.234189E-11
13:41:50.539	-2.6E+1	-2.302828E-9 4.126499E+3	8.271304E-11
13:41:51.002	-2.6E+1	-1.615279E-9 2.718473E+3	8.200523E-11
13:41:51.466	-2.6E+1	-2.074492E-9 4.132379E+3	8.220583E-11
13:41:52.732	-2.8E+1	-2.067004E-9 5.741288E+3	7.906735E-11
13:41:53.193	-2.8E+1	-2.161209E-9 5.655368E+3	7.960172E-11
13:41:53.657	-2.8E+1	-1.723713E-9 4.399646E+3	7.953046E-11
13:41:54.121	-2.8E+1	-2.263025E-9 4.726877E+3	7.890339E-11
13:41:54.584	-2.8E+1	-1.658992E-9 5.583331E+3	7.908984E-11
13:41:55.849	-3E+1	-2.132511E-9 6.096585E+3	7.693715E-11
13:41:56.311	-3E+1	-1.771869E-9 5.819336E+3	7.789548E-11
13:41:56.775	-3E+1	-2.31202E-9 5.187179E+3	7.698989E-11
13:41:57.239	-3E+1	-1.812631E-9 4.620917E+3	7.750404E-11
13:41:57.703	-3E+1	-2.452767E-9 4.774443E+3	7.679391E-11
13:41:58.977	-3.2E+1	-1.95554E-9 4.433988E+3	7.576352E-11
13:41:59.446	-3.2E+1	-1.887164E-9 4.136648E+3	7.477338E-11
13:41:59.908	-3.2E+1	-1.732316E-9 2.420297E+3	7.502665E-11
13:42:00.373	-3.2E+1	-1.994219E-9 6.313182E+3	7.431323E-11
13:42:00.837	-3.2E+1	-1.837129E-9 1.850673E+3	7.485321E-11
13:42:02.103	-3.4E+1	-2.685973E-9 6.650492E+3	7.358334E-11
13:42:02.564	-3.4E+1	-2.439748E-9 6.281559E+3	7.328562E-11
13:42:03.027	-3.4E+1	-1.849274E-9 5.608198E+3	7.347343E-11
13:42:03.491	-3.4E+1	-1.754318E-9 4.191087E+3	7.270531E-11
13:42:03.955	-3.4E+1	-2.09067E-9 5.40596E+3	7.296183E-11
13:42:05.230	-3.6E+1	-2.707718E-9 5.456496E+3	7.120223E-11
13:42:05.699	-3.6E+1	-1.687317E-9 4.133399E+3	7.165998E-11
13:42:06.163	-3.6E+1	-2.013351E-9 6.014134E+3	7.251646E-11
13:42:06.626	-3.6E+1	-2.366295E-9 1.885335E+3	7.132684E-11
13:42:07.089	-3.6E+1	-1.873146E-9 5.223223E+3	7.134502E-11
13:42:08.364	-3.8E+1	-1.977376E-9 6.245128E+3	7.009508E-11
13:42:08.832	-3.8E+1	-2.387174E-9 5.630505E+3	6.987801E-11
13:42:09.297	-3.8E+1	-1.640191E-9 5.61606E+3	6.987553E-11
13:42:09.760	-3.8E+1	-2.080105E-9 2.579135E+3	7.019185E-11
