ATLAS17 8x8mm2 diode Pad GR diff ground
IV Measurement
Measurement started at 12:01:28.015 04/03/2019 by Cameron(Kostas) on epllt004.ph.bham.ac.uk.

Pad GR diff ground 22.8C
ATLAS17 8x8mm2 diode
ISO7

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4303081
C33   Mar 31 2015 09:32:39/A02  /J/M

Keithley Current Range: 1.05uA (Auto on)
Keithley Source Voltage Range: 1.1kV
Compliance Level: 20uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
12:01:28.015	0E+0	5.66192E-10
12:01:28.390	0E+0	1.435684E-9
12:01:28.758	0E+0	9.426097E-10
12:01:29.133	0E+0	1.676492E-10
12:01:29.509	0E+0	2.664215E-10
12:01:30.686	-2E+0	-2.148096E-9
12:01:31.068	-2E+0	-1.625013E-9
12:01:31.452	-2E+0	-2.014581E-9
12:01:31.835	-2E+0	-2.08038E-9
12:01:32.211	-2E+0	-2.158868E-9
12:01:33.390	-4E+0	-2.059919E-9
12:01:33.762	-4E+0	-1.595355E-9
12:01:34.130	-4E+0	-1.580215E-9
12:01:34.506	-4E+0	-1.757283E-9
12:01:34.891	-4E+0	-2.081294E-9
12:01:36.078	-6E+0	-1.654212E-9
12:01:36.457	-6E+0	-1.643563E-9
12:01:36.841	-6E+0	-1.640861E-9
12:01:37.225	-6E+0	-1.731407E-9
12:01:37.608	-6E+0	-1.944828E-9
12:01:38.794	-8E+0	-1.958304E-9
12:01:39.174	-8E+0	-2.136114E-9
12:01:39.558	-8E+0	-1.976062E-9
12:01:39.942	-8E+0	-1.783568E-9
12:01:40.326	-8E+0	-1.616197E-9
12:01:41.512	-1E+1	-2.067029E-9
12:01:41.894	-1E+1	-2.066653E-9
12:01:42.278	-1E+1	-2.103797E-9
12:01:42.662	-1E+1	-2.084038E-9
12:01:43.046	-1E+1	-1.984626E-9
12:01:44.232	-1.2E+1	-1.630297E-9
12:01:44.612	-1.2E+1	-1.727378E-9
12:01:44.996	-1.2E+1	-2.061206E-9
12:01:45.378	-1.2E+1	-1.725668E-9
12:01:45.762	-1.2E+1	-1.837305E-9
12:01:46.949	-1.4E+1	-2.06016E-9
12:01:47.329	-1.4E+1	-1.69547E-9
12:01:47.712	-1.4E+1	-1.866463E-9
12:01:48.096	-1.4E+1	-1.709197E-9
12:01:48.479	-1.4E+1	-1.727001E-9
12:01:49.666	-1.6E+1	-1.810309E-9
12:01:50.046	-1.6E+1	-2.095602E-9
12:01:50.430	-1.6E+1	-2.09269E-9
12:01:50.814	-1.6E+1	-2.075053E-9
12:01:51.198	-1.6E+1	-1.900401E-9
12:01:52.382	-1.8E+1	-2.137278E-9
12:01:52.764	-1.8E+1	-1.662115E-9
12:01:53.148	-1.8E+1	-1.938665E-9
12:01:53.532	-1.8E+1	-2.113319E-9
12:01:53.915	-1.8E+1	-2.090235E-9
12:01:55.102	-2E+1	-1.961169E-9
12:01:55.482	-2E+1	-1.697427E-9
12:01:55.865	-2E+1	-1.690688E-9
12:01:56.249	-2E+1	-1.735319E-9
12:01:56.633	-2E+1	-1.924111E-9
12:01:57.820	-2.2E+1	-1.713646E-9
12:01:58.199	-2.2E+1	-1.696425E-9
12:01:58.583	-2.2E+1	-1.766387E-9
12:01:58.967	-2.2E+1	-1.926937E-9
12:01:59.351	-2.2E+1	-2.091776E-9
12:02:00.536	-2.4E+1	-1.86018E-9
12:02:00.918	-2.4E+1	-1.939456E-9
12:02:01.302	-2.4E+1	-1.6508E-9
12:02:01.686	-2.4E+1	-1.735068E-9
12:02:02.069	-2.4E+1	-1.841965E-9
12:02:03.253	-2.6E+1	-1.758236E-9
12:02:03.636	-2.6E+1	-2.088524E-9
12:02:04.020	-2.6E+1	-2.023978E-9
12:02:04.403	-2.6E+1	-1.780029E-9
12:02:04.786	-2.6E+1	-1.754284E-9
12:02:05.973	-2.8E+1	-1.706826E-9
12:02:06.354	-2.8E+1	-2.062033E-9
12:02:06.737	-2.8E+1	-2.123343E-9
12:02:07.121	-2.8E+1	-2.147466E-9
12:02:07.505	-2.8E+1	-1.993361E-9
12:02:08.690	-3E+1	-2.02265E-9
12:02:09.072	-3E+1	-2.018401E-9
12:02:09.455	-3E+1	-2.009539E-9
12:02:09.839	-3E+1	-2.128421E-9
12:02:10.223	-3E+1	-2.01628E-9
12:02:11.410	-3.2E+1	-1.671595E-9
12:02:11.790	-3.2E+1	-1.764929E-9
12:02:12.174	-3.2E+1	-1.852236E-9
12:02:12.557	-3.2E+1	-1.806316E-9
12:02:12.941	-3.2E+1	-2.165228E-9
12:02:14.127	-3.4E+1	-2.110202E-9
12:02:14.508	-3.4E+1	-1.899361E-9
12:02:14.891	-3.4E+1	-1.950939E-9
12:02:15.275	-3.4E+1	-1.735938E-9
12:02:15.659	-3.4E+1	-1.75187E-9
12:02:16.847	-3.6E+1	-2.097511E-9
12:02:17.227	-3.6E+1	-1.913582E-9
12:02:17.610	-3.6E+1	-1.995651E-9
12:02:17.994	-3.6E+1	-1.955512E-9
12:02:18.378	-3.6E+1	-1.829732E-9
