ATLAS17 8x8mm2 diode Pad GR float
CV Measurement
Measurement started at 12:53:51.352 04/03/2019 by Cameron(Kostas) on epllt004.ph.bham.ac.uk.

Pad GR float 22.5C
ATLAS17 8x8mm2 diode
ISO7

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4303081
C33   Mar 31 2015 09:32:39/A02  /J/M

WAYNE KERR
6530B
0
3.382

Wayne Kerr settings:
Function 1 - Resistance
Function 2 - Capacitance
Equivalent Circuit - Series
Measurement Frequency - 10000 Hz

Keithley Current Range: 1.05uA (Auto on)
Keithley Source Voltage Range: 1.1kV
Compliance Level: 20uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
12:53:51.352	0E+0	4.546792E-7 4.424398E+3	4.375525E-10
12:53:51.813	0E+0	4.544153E-7 4.489473E+3	4.385291E-10
12:53:52.276	0E+0	4.546053E-7 4.524914E+3	4.396454E-10
12:53:52.740	0E+0	4.550255E-7 4.525065E+3	4.395735E-10
12:53:53.203	0E+0	4.548107E-7 4.466577E+3	4.384423E-10
12:53:54.468	-2E+0	-2.182224E-9 1.86801E+3	2.658447E-10
12:53:54.931	-2E+0	-2.00067E-9 1.765706E+3	2.649597E-10
12:53:55.394	-2E+0	-1.516496E-9 1.708317E+3	2.652305E-10
12:53:55.857	-2E+0	-1.221979E-9 1.804008E+3	2.653515E-10
12:53:56.321	-2E+0	-1.382815E-9 1.792485E+3	2.653887E-10
12:53:57.586	-4E+0	-2.126113E-9 1.624327E+3	1.83737E-10
12:53:58.048	-4E+0	-1.931131E-9 1.449027E+3	1.842567E-10
12:53:58.512	-4E+0	-1.858174E-9 1.510619E+3	1.84548E-10
12:53:58.975	-4E+0	-1.687437E-9 1.467975E+3	1.843023E-10
12:53:59.439	-4E+0	-1.612858E-9 1.558895E+3	1.840096E-10
12:54:00.705	-6E+0	-1.763424E-9 2.114167E+3	1.54585E-10
12:54:01.166	-6E+0	-1.587573E-9 1.859102E+3	1.547034E-10
12:54:01.630	-6E+0	-1.914323E-9 1.869723E+3	1.546184E-10
12:54:02.093	-6E+0	-1.745581E-9 1.838017E+3	1.543807E-10
12:54:02.557	-6E+0	-1.510338E-9 1.994135E+3	1.542945E-10
12:54:03.864	-8E+0	-1.964444E-9 2.695599E+3	1.361775E-10
12:54:04.332	-8E+0	-1.689267E-9 2.143174E+3	1.366012E-10
12:54:04.795	-8E+0	-1.747492E-9 2.282293E+3	1.363326E-10
12:54:05.259	-8E+0	-2.048912E-9 2.301883E+3	1.367011E-10
12:54:05.723	-8E+0	-1.546648E-9 2.236098E+3	1.359312E-10
12:54:06.989	-1E+1	-1.895193E-9 2.461157E+3	1.236891E-10
12:54:07.450	-1E+1	-1.701121E-9 2.516189E+3	1.234947E-10
12:54:07.913	-1E+1	-1.724702E-9 2.732916E+3	1.232824E-10
12:54:08.377	-1E+1	-1.777812E-9 2.631681E+3	1.236753E-10
12:54:08.841	-1E+1	-1.773739E-9 2.610369E+3	1.236739E-10
12:54:10.107	-1.2E+1	-1.940486E-9 2.764594E+3	1.142958E-10
12:54:10.569	-1.2E+1	-1.707113E-9 2.291381E+3	1.134037E-10
12:54:11.032	-1.2E+1	-1.818828E-9 3.064217E+3	1.140877E-10
12:54:11.495	-1.2E+1	-1.314639E-9 2.742288E+3	1.13931E-10
12:54:11.959	-1.2E+1	-1.696167E-9 2.270109E+3	1.141734E-10
12:54:13.224	-1.4E+1	-2.62389E-9 2.90384E+3	1.066327E-10
12:54:13.686	-1.4E+1	-2.246268E-9 3.484527E+3	1.065204E-10
12:54:14.150	-1.4E+1	-1.618101E-9 2.562106E+3	1.064929E-10
12:54:14.613	-1.4E+1	-1.685525E-9 2.735549E+3	1.065539E-10
12:54:15.077	-1.4E+1	-1.878763E-9 2.623484E+3	1.063282E-10
12:54:16.342	-1.6E+1	-1.82494E-9 3.498251E+3	1.002994E-10
12:54:16.804	-1.6E+1	-1.713513E-9 2.540718E+3	1.010528E-10
12:54:17.269	-1.6E+1	-1.996756E-9 3.302353E+3	1.003907E-10
12:54:17.733	-1.6E+1	-2.066469E-9 2.954953E+3	9.984333E-11
12:54:18.196	-1.6E+1	-1.676081E-9 2.565503E+3	1.007341E-10
12:54:19.461	-1.8E+1	-1.926171E-9 2.701751E+3	9.549767E-11
12:54:19.923	-1.8E+1	-1.737183E-9 3.220802E+3	9.497496E-11
12:54:20.387	-1.8E+1	-1.860587E-9 2.820765E+3	9.517449E-11
12:54:20.851	-1.8E+1	-2.100031E-9 3.168748E+3	9.512036E-11
12:54:21.315	-1.8E+1	-1.680533E-9 3.625634E+3	9.486416E-11
12:54:22.579	-2E+1	-2.238785E-9 3.975462E+3	9.040546E-11
12:54:23.041	-2E+1	-1.496656E-9 3.180692E+3	9.017021E-11
12:54:23.505	-2E+1	-2.037896E-9 4.875394E+3	9.045767E-11
12:54:23.969	-2E+1	-1.843028E-9 3.758563E+3	9.053093E-11
12:54:24.432	-2E+1	-1.659776E-9 2.987449E+3	9.029629E-11
12:54:25.697	-2.2E+1	-2.429399E-9 4.138634E+3	8.640789E-11
12:54:26.159	-2.2E+1	-1.973423E-9 2.456985E+3	8.651818E-11
12:54:26.623	-2.2E+1	-2.017138E-9 4.073687E+3	8.624955E-11
12:54:27.087	-2.2E+1	-1.645762E-9 3.055998E+3	8.633287E-11
12:54:27.551	-2.2E+1	-1.640769E-9 2.298085E+3	8.670553E-11
12:54:28.817	-2.4E+1	-2.399624E-9 3.61689E+3	8.320913E-11
12:54:29.278	-2.4E+1	-2.124402E-9 3.273069E+3	8.29391E-11
12:54:29.741	-2.4E+1	-2.285403E-9 3.445139E+3	8.306132E-11
12:54:30.205	-2.4E+1	-1.711057E-9 4.823221E+3	8.291507E-11
12:54:30.669	-2.4E+1	-1.832379E-9 3.56393E+3	8.354541E-11
12:54:31.935	-2.6E+1	-1.817453E-9 3.27393E+3	8.024062E-11
12:54:32.397	-2.6E+1	-1.968393E-9 3.218051E+3	8.024145E-11
12:54:32.860	-2.6E+1	-2.101359E-9 4.070743E+3	7.98964E-11
12:54:33.324	-2.6E+1	-1.907628E-9 3.276695E+3	8.034894E-11
12:54:33.788	-2.6E+1	-2.174144E-9 1.96511E+3	7.983688E-11
12:54:35.054	-2.8E+1	-2.098987E-9 3.01326E+3	7.792761E-11
12:54:35.516	-2.8E+1	-2.161211E-9 3.350032E+3	7.735214E-11
12:54:35.980	-2.8E+1	-1.671011E-9 2.709762E+3	7.708993E-11
12:54:36.443	-2.8E+1	-1.597054E-9 3.57903E+3	7.712492E-11
12:54:36.906	-2.8E+1	-1.555501E-9 2.918095E+3	7.742102E-11
12:54:38.171	-3E+1	-2.310275E-9 3.013702E+3	7.509945E-11
12:54:38.633	-3E+1	-1.914906E-9 1.164145E+3	7.538731E-11
12:54:39.096	-3E+1	-1.887954E-9 2.469503E+3	7.509617E-11
12:54:39.560	-3E+1	-1.715553E-9 3.317942E+3	7.506952E-11
12:54:40.024	-3E+1	-1.46138E-9 2.579469E+3	7.504218E-11
12:54:41.289	-3.2E+1	-1.904418E-9 3.842323E+3	7.244189E-11
12:54:41.751	-3.2E+1	-1.624335E-9 2.986964E+3	7.329027E-11
12:54:42.215	-3.2E+1	-2.186246E-9 2.795064E+3	7.35111E-11
12:54:42.679	-3.2E+1	-1.980697E-9 1.903754E+3	7.287652E-11
12:54:43.142	-3.2E+1	-1.575549E-9 1.444981E+3	7.287595E-11
12:54:44.408	-3.4E+1	-1.846231E-9 3.770656E+3	7.127617E-11
12:54:44.870	-3.4E+1	-1.897849E-9 2.60499E+3	7.097729E-11
12:54:45.334	-3.4E+1	-1.770452E-9 1.599622E+3	7.12591E-11
12:54:45.798	-3.4E+1	-2.354819E-9 2.914914E+3	7.111993E-11
12:54:46.262	-3.4E+1	-1.879961E-9 2.037796E+3	7.146547E-11
12:54:47.528	-3.6E+1	-2.084146E-9 2.943874E+3	7.007888E-11
12:54:47.988	-3.6E+1	-1.624085E-9 3.450817E+3	6.963561E-11
12:54:48.452	-3.6E+1	-1.481924E-9 2.634232E+3	6.963802E-11
12:54:48.915	-3.6E+1	-1.960159E-9 2.616847E+3	6.95232E-11
12:54:49.379	-3.6E+1	-1.965982E-9 2.127085E+3	6.952043E-11
12:54:50.645	-3.8E+1	-1.925929E-9 1.550574E+3	6.827591E-11
12:54:51.107	-3.8E+1	-1.860371E-9 2.607678E+3	6.857589E-11
12:54:51.570	-3.8E+1	-1.47028E-9 2.403273E+3	6.815081E-11
12:54:52.033	-3.8E+1	-1.642555E-9 2.712311E+3	6.851955E-11
12:54:52.498	-3.8E+1	-2.03594E-9 2.020021E+3	6.803113E-11
12:54:53.765	-4E+1	-2.300178E-9 3.22997E+3	6.681143E-11
12:54:54.226	-4E+1	-1.997251E-9 2.548729E+3	6.664701E-11
12:54:54.689	-4E+1	-1.840822E-9 3.262919E+3	6.637406E-11
12:54:55.151	-4E+1	-1.608819E-9 2.970748E+3	6.723822E-11
12:54:55.616	-4E+1	-1.94356E-9 2.343459E+3	6.664012E-11
12:54:56.881	-4.2E+1	-2.115996E-9 1.652549E+3	6.613736E-11
12:54:57.344	-4.2E+1	-1.812749E-9 2.782452E+3	6.55107E-11
12:54:57.808	-4.2E+1	-2.372588E-9 3.450087E+3	6.570689E-11
12:54:58.271	-4.2E+1	-1.928008E-9 2.70984E+3	6.564235E-11
12:54:58.734	-4.2E+1	-1.886915E-9 3.9305E+3	6.556882E-11
12:54:59.999	-4.4E+1	-2.118453E-9 4.110245E+3	6.482087E-11
12:55:00.461	-4.4E+1	-1.713636E-9 2.044532E+3	6.414771E-11
12:55:00.924	-4.4E+1	-1.622217E-9 4.406893E+3	6.454954E-11
12:55:01.389	-4.4E+1	-2.295179E-9 2.852629E+3	6.408751E-11
12:55:01.852	-4.4E+1	-2.106307E-9 3.036323E+3	6.476383E-11
12:55:03.127	-4.6E+1	-2.530009E-9 2.21031E+3	6.340175E-11
12:55:03.595	-4.6E+1	-1.701163E-9 2.073405E+3	6.366315E-11
12:55:04.059	-4.6E+1	-1.876008E-9 4.218205E+3	6.310774E-11
12:55:04.523	-4.6E+1	-1.93403E-9 3.089549E+3	6.369969E-11
12:55:04.986	-4.6E+1	-2.182294E-9 2.46329E+3	6.374016E-11
12:55:06.252	-4.8E+1	-2.099909E-9 3.120097E+3	6.221091E-11
12:55:06.713	-4.8E+1	-1.869895E-9 2.52481E+3	6.232705E-11
12:55:07.177	-4.8E+1	-1.7002E-9 3.033112E+3	6.267347E-11
12:55:07.641	-4.8E+1	-2.26864E-9 2.005107E+3	6.244661E-11
12:55:08.104	-4.8E+1	-2.096126E-9 4.533822E+3	6.271346E-11
12:55:09.368	-5E+1	-2.356903E-9 5.146745E+3	6.148098E-11
12:55:09.832	-5E+1	-1.964146E-9 4.835721E+3	6.15041E-11
12:55:10.296	-5E+1	-2.227761E-9 4.09002E+3	6.13849E-11
12:55:10.760	-5E+1	-2.3E-9 3.485958E+3	6.13425E-11
12:55:11.222	-5E+1	-1.960073E-9 4.798346E+3	6.135916E-11
12:55:12.489	-5.2E+1	-2.82257E-9 6.402839E+3	6.051925E-11
12:55:12.950	-5.2E+1	-2.00732E-9 6.438863E+3	6.063407E-11
12:55:13.414	-5.2E+1	-2.302663E-9 6.068586E+3	6.077738E-11
12:55:13.878	-5.2E+1	-2.405858E-9 3.455577E+3	6.091132E-11
12:55:14.341	-5.2E+1	-1.872931E-9 6.276812E+3	6.059596E-11
12:55:15.616	-5.4E+1	-2.509043E-9 8.602569E+3	5.906072E-11
12:55:16.084	-5.4E+1	-1.857001E-9 6.862879E+3	5.99785E-11
12:55:16.548	-5.4E+1	-2.28761E-9 6.856072E+3	5.95449E-11
12:55:17.011	-5.4E+1	-2.306238E-9 9.947604E+3	5.971961E-11
12:55:17.475	-5.4E+1	-2.097031E-9 5.137752E+3	6.017186E-11
12:55:18.742	-5.6E+1	-2.109175E-9 1.01998E+4	5.912366E-11
12:55:19.203	-5.6E+1	-2.219394E-9 8.088887E+3	5.895343E-11
12:55:19.666	-5.6E+1	-2.007902E-9 8.225074E+3	5.866556E-11
12:55:20.130	-5.6E+1	-1.98174E-9 9.599677E+3	5.906486E-11
12:55:20.593	-5.6E+1	-2.075655E-9 9.429991E+3	5.87815E-11
12:55:21.868	-5.8E+1	-2.91765E-9 1.592662E+4	5.744074E-11
12:55:22.337	-5.8E+1	-3.175018E-9 1.641479E+4	5.744235E-11
12:55:22.800	-5.8E+1	-2.781019E-9 1.541307E+4	5.7552E-11
12:55:23.263	-5.8E+1	-3.001583E-9 1.494255E+4	5.795638E-11
12:55:23.727	-5.8E+1	-2.198436E-9 1.556627E+4	5.777651E-11
12:55:24.994	-6E+1	-2.575886E-9 2.137639E+4	5.499099E-11
12:55:25.455	-6E+1	-2.573513E-9 2.192563E+4	5.522591E-11
12:55:25.919	-6E+1	-2.80922E-9 2.101192E+4	5.44173E-11
12:55:26.382	-6E+1	-2.914449E-9 2.188097E+4	5.49053E-11
12:55:26.846	-6E+1	-2.232584E-9 1.916032E+4	5.501972E-11
12:55:28.112	-6.2E+1	-2.501227E-9 2.178934E+4	5.198008E-11
12:55:28.574	-6.2E+1	-2.205546E-9 2.046895E+4	5.188141E-11
12:55:29.038	-6.2E+1	-2.53134E-9 1.960041E+4	5.163297E-11
12:55:29.501	-6.2E+1	-2.279541E-9 1.965979E+4	5.174234E-11
12:55:29.964	-6.2E+1	-2.348709E-9 2.009352E+4	5.177111E-11
12:55:31.230	-6.4E+1	-2.58362E-9 1.152401E+4	4.95614E-11
12:55:31.691	-6.4E+1	-2.222101E-9 1.288226E+4	4.969186E-11
12:55:32.155	-6.4E+1	-2.282119E-9 1.397256E+4	4.975341E-11
12:55:32.620	-6.4E+1	-2.169405E-9 1.341874E+4	4.979052E-11
12:55:33.082	-6.4E+1	-2.14682E-9 1.301632E+4	4.988716E-11
12:55:34.349	-6.6E+1	-2.519402E-9 5.944397E+3	4.897436E-11
12:55:34.810	-6.6E+1	-2.627082E-9 8.782567E+3	4.916179E-11
12:55:35.273	-6.6E+1	-2.238904E-9 6.897997E+3	4.86842E-11
12:55:35.737	-6.6E+1	-2.290603E-9 6.398832E+3	4.877945E-11
12:55:36.202	-6.6E+1	-2.099613E-9 8.734028E+3	4.902282E-11
12:55:37.477	-6.8E+1	-2.84503E-9 4.316773E+3	4.844292E-11
12:55:37.944	-6.8E+1	-2.276963E-9 6.484198E+3	4.817459E-11
12:55:38.407	-6.8E+1	-2.15206E-9 6.30092E+3	4.835711E-11
12:55:38.871	-6.8E+1	-2.739387E-9 4.684127E+3	4.836397E-11
12:55:39.335	-6.8E+1	-2.258412E-9 7.152448E+3	4.815049E-11
12:55:40.600	-7E+1	-2.837083E-9 4.835761E+3	4.775807E-11
12:55:41.063	-7E+1	-2.59614E-9 6.002676E+3	4.778439E-11
12:55:41.526	-7E+1	-1.751235E-9 5.154577E+3	4.785925E-11
12:55:41.990	-7E+1	-2.374911E-9 6.305317E+3	4.756088E-11
12:55:42.454	-7E+1	-2.233624E-9 5.084256E+3	4.763066E-11
12:55:43.719	-7.2E+1	-2.690679E-9 5.521072E+3	4.718269E-11
12:55:44.180	-7.2E+1	-2.300669E-9 4.155437E+3	4.725138E-11
12:55:44.645	-7.2E+1	-2.371709E-9 3.269615E+3	4.768777E-11
12:55:45.109	-7.2E+1	-2.226593E-9 3.223728E+3	4.746948E-11
12:55:45.572	-7.2E+1	-2.780477E-9 4.824974E+3	4.718766E-11
12:55:46.846	-7.4E+1	-2.985943E-9 4.266038E+3	4.693466E-11
12:55:47.315	-7.4E+1	-2.270887E-9 6.042526E+3	4.660219E-11
12:55:47.779	-7.4E+1	-2.87655E-9 4.208725E+3	4.664051E-11
12:55:48.243	-7.4E+1	-2.338099E-9 3.834766E+3	4.671937E-11
12:55:48.706	-7.4E+1	-2.307448E-9 4.636221E+3	4.64659E-11
12:55:49.970	-7.6E+1	-2.50605E-9 2.445726E+3	4.627288E-11
12:55:50.433	-7.6E+1	-2.309689E-9 3.832429E+3	4.621652E-11
12:55:50.897	-7.6E+1	-2.272885E-9 4.591786E+3	4.611193E-11
12:55:51.361	-7.6E+1	-2.581997E-9 4.403682E+3	4.586153E-11
12:55:51.825	-7.6E+1	-2.383727E-9 3.409844E+3	4.617291E-11
12:55:53.099	-7.8E+1	-2.608203E-9 3.146824E+3	4.582909E-11
12:55:53.568	-7.8E+1	-2.259991E-9 2.182368E+3	4.590752E-11
12:55:54.032	-7.8E+1	-2.358107E-9 2.404835E+3	4.582114E-11
12:55:54.496	-7.8E+1	-2.361809E-9 2.238874E+3	4.57219E-11
12:55:54.960	-7.8E+1	-2.249594E-9 2.914038E+3	4.565038E-11
12:55:56.224	-8E+1	-2.832882E-9 4.919931E+3	4.520557E-11
12:55:56.686	-8E+1	-2.599885E-9 3.598284E+3	4.547106E-11
12:55:57.150	-8E+1	-2.435302E-9 3.500195E+3	4.52244E-11
12:55:57.614	-8E+1	-2.421285E-9 3.721627E+3	4.528024E-11
12:55:58.078	-8E+1	-2.026201E-9 3.06186E+3	4.542524E-11
12:55:59.342	-8.2E+1	-2.794994E-9 2.914006E+3	4.501125E-11
12:55:59.805	-8.2E+1	-2.845566E-9 2.978365E+3	4.484814E-11
12:56:00.269	-8.2E+1	-2.270473E-9 2.996759E+3	4.476342E-11
12:56:00.732	-8.2E+1	-2.593478E-9 5.902809E+2	4.470105E-11
12:56:01.196	-8.2E+1	-1.908951E-9 1.019503E+3	4.509456E-11
12:56:02.462	-8.4E+1	-2.689929E-9 3.965985E+3	4.464563E-11
12:56:02.923	-8.4E+1	-2.477976E-9 1.060632E+3	4.450995E-11
12:56:03.386	-8.4E+1	-2.457716E-9 1.563563E+3	4.468837E-11
12:56:03.851	-8.4E+1	-2.05515E-9 5.08563E+3	4.438267E-11
12:56:04.315	-8.4E+1	-2.632239E-9 2.775296E+3	4.473192E-11
