ATLAS17 8x8mm2 diode Pad GR float 500mVac
CV Measurement
Measurement started at 13:01:02.142 04/03/2019 by Cameron(Kostas) on epllt004.ph.bham.ac.uk.

Pad GR float 500mVac 22.6C
ATLAS17 8x8mm2 diode
ISO7

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4303081
C33   Mar 31 2015 09:32:39/A02  /J/M

WAYNE KERR
6530B
0
3.382

Wayne Kerr settings:
Function 1 - Resistance
Function 2 - Capacitance
Equivalent Circuit - Series
Measurement Frequency - 10000 Hz

Keithley Current Range: 1.05uA (Auto on)
Keithley Source Voltage Range: 1.1kV
Compliance Level: 20uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
13:01:02.142	0E+0	1.871802E-7 3.946702E+3	5.654584E-10
13:01:02.607	0E+0	1.877573E-7 3.955818E+3	5.625064E-10
13:01:03.071	0E+0	1.873946E-7 3.910364E+3	5.624812E-10
13:01:03.535	0E+0	1.87076E-7 4.014062E+3	5.670815E-10
13:01:03.999	0E+0	1.87306E-7 3.963551E+3	5.667558E-10
13:01:05.263	-2E+0	-1.799479E-9 1.980867E+3	2.473908E-10
13:01:05.725	-2E+0	-1.311681E-9 1.964366E+3	2.47053E-10
13:01:06.188	-2E+0	-1.481668E-9 2.048565E+3	2.47664E-10
13:01:06.652	-2E+0	-1.570218E-9 2.018579E+3	2.472764E-10
13:01:07.116	-2E+0	-1.476345E-9 1.998804E+3	2.477068E-10
13:01:08.382	-4E+0	-1.994618E-9 1.982762E+3	1.841429E-10
13:01:08.844	-4E+0	-1.72028E-9 2.042939E+3	1.830597E-10
13:01:09.308	-4E+0	-1.400353E-9 1.820555E+3	1.831272E-10
13:01:09.771	-4E+0	-1.517271E-9 1.997772E+3	1.836233E-10
13:01:10.235	-4E+0	-1.609518E-9 2.199065E+3	1.825303E-10
13:01:11.500	-6E+0	-1.919467E-9 1.700379E+3	1.547226E-10
13:01:11.962	-6E+0	-1.756006E-9 2.847598E+3	1.540276E-10
13:01:12.426	-6E+0	-1.442322E-9 2.206639E+3	1.532309E-10
13:01:12.890	-6E+0	-1.652902E-9 1.715092E+3	1.529804E-10
13:01:13.353	-6E+0	-1.808623E-9 2.89852E+3	1.540304E-10
13:01:14.619	-8E+0	-1.73829E-9 2.5255E+3	1.365017E-10
13:01:15.080	-8E+0	-1.714829E-9 2.904821E+3	1.354355E-10
13:01:15.544	-8E+0	-1.462989E-9 2.130463E+3	1.358177E-10
13:01:16.008	-8E+0	-1.945961E-9 3.17108E+3	1.358507E-10
13:01:16.470	-8E+0	-1.858368E-9 2.791409E+3	1.35476E-10
13:01:17.737	-1E+1	-1.509663E-9 3.284857E+3	1.22538E-10
13:01:18.199	-1E+1	-1.483332E-9 3.212668E+3	1.231225E-10
13:01:18.663	-1E+1	-1.421858E-9 2.234332E+3	1.239926E-10
13:01:19.127	-1E+1	-1.988212E-9 2.46025E+3	1.228259E-10
13:01:19.591	-1E+1	-1.269962E-9 3.118155E+3	1.226547E-10
13:01:20.855	-1.2E+1	-2.169267E-9 3.234787E+3	1.144442E-10
13:01:21.316	-1.2E+1	-1.254867E-9 2.267641E+3	1.137457E-10
13:01:21.780	-1.2E+1	-2.076273E-9 3.023569E+3	1.139044E-10
13:01:22.244	-1.2E+1	-1.689711E-9 1.383161E+3	1.135056E-10
13:01:22.708	-1.2E+1	-1.622332E-9 2.841902E+3	1.14229E-10
13:01:23.973	-1.4E+1	-2.059917E-9 2.745274E+3	1.058453E-10
13:01:24.435	-1.4E+1	-1.829124E-9 3.355609E+3	1.05149E-10
13:01:24.899	-1.4E+1	-1.696867E-9 3.008618E+3	1.06904E-10
13:01:25.363	-1.4E+1	-1.534823E-9 2.07333E+3	1.056836E-10
13:01:25.827	-1.4E+1	-1.855372E-9 3.607149E+3	1.060188E-10
13:01:27.091	-1.6E+1	-2.278905E-9 2.960301E+3	9.966566E-11
13:01:27.553	-1.6E+1	-2.076025E-9 3.9773E+3	1.000432E-10
13:01:28.017	-1.6E+1	-1.813651E-9 3.236251E+3	1.001752E-10
13:01:28.481	-1.6E+1	-1.565182E-9 3.540099E+3	9.998859E-11
13:01:28.945	-1.6E+1	-1.960559E-9 4.144097E+3	1.000089E-10
13:01:30.220	-1.8E+1	-2.102803E-9 2.811042E+3	9.505406E-11
13:01:30.688	-1.8E+1	-1.79016E-9 3.307248E+3	9.399899E-11
13:01:31.151	-1.8E+1	-1.580242E-9 2.652128E+3	9.49749E-11
13:01:31.614	-1.8E+1	-1.65914E-9 1.745252E+3	9.429947E-11
13:01:32.078	-1.8E+1	-1.931528E-9 2.670591E+3	9.499121E-11
13:01:33.344	-2E+1	-2.081259E-9 3.392692E+3	9.009742E-11
13:01:33.806	-2E+1	-1.960102E-9 2.907377E+3	9.002506E-11
13:01:34.270	-2E+1	-1.53254E-9 5.604518E+3	8.959124E-11
13:01:34.734	-2E+1	-1.609106E-9 4.764441E+3	9.031397E-11
13:01:35.198	-2E+1	-1.994327E-9 2.894776E+3	9.054685E-11
13:01:36.463	-2.2E+1	-1.940183E-9 1.857797E+3	8.723827E-11
13:01:36.924	-2.2E+1	-1.770853E-9 4.754769E+3	8.683524E-11
13:01:37.389	-2.2E+1	-2.21493E-9 2.916607E+3	8.647216E-11
13:01:37.852	-2.2E+1	-1.60673E-9 2.260333E+3	8.750214E-11
13:01:38.316	-2.2E+1	-1.99745E-9 3.398429E+3	8.71519E-11
13:01:39.581	-2.4E+1	-1.893093E-9 2.903331E+3	8.335747E-11
13:01:40.043	-2.4E+1	-1.804713E-9 5.684999E+2	8.426236E-11
13:01:40.507	-2.4E+1	-1.714791E-9 2.847798E+3	8.354733E-11
13:01:40.971	-2.4E+1	-2.311971E-9 2.984013E+3	8.404473E-11
13:01:41.434	-2.4E+1	-1.791903E-9 6.276955E+3	8.31319E-11
13:01:42.699	-2.6E+1	-1.971075E-9 6.956568E+2	8.130222E-11
13:01:43.161	-2.6E+1	-1.720614E-9 3.456159E+3	8.000166E-11
13:01:43.625	-2.6E+1	-1.580239E-9 3.569182E+3	8.117036E-11
13:01:44.089	-2.6E+1	-2.188026E-9 3.944717E+3	8.196357E-11
13:01:44.553	-2.6E+1	-1.762289E-9 3.497202E+3	7.991819E-11
13:01:45.818	-2.8E+1	-2.239392E-9 4.3121E+3	7.790359E-11
13:01:46.279	-2.8E+1	-1.305772E-9 3.033909E+3	7.824056E-11
13:01:46.743	-2.8E+1	-1.905657E-9 3.629188E+3	7.794223E-11
13:01:47.207	-2.8E+1	-1.968748E-9 1.532294E+3	7.781734E-11
13:01:47.671	-2.8E+1	-1.869176E-9 2.961412E+3	7.832055E-11
13:01:48.936	-3E+1	-1.92088E-9 2.285185E+3	7.575645E-11
13:01:49.398	-3E+1	-1.814985E-9 1.436631E+3	7.622509E-11
13:01:49.862	-3E+1	-2.179833E-9 5.492339E+3	7.581003E-11
13:01:50.325	-3E+1	-1.966045E-9 1.800208E+3	7.541483E-11
13:01:50.789	-3E+1	-1.682766E-9 5.239913E+3	7.604485E-11
13:01:52.055	-3.2E+1	-2.36762E-9 -2.996426E+2	7.320009E-11
13:01:52.516	-3.2E+1	-1.792777E-9 4.137948E+3	7.286102E-11
13:01:52.980	-3.2E+1	-2.175256E-9 2.599975E+3	7.262798E-11
13:01:53.443	-3.2E+1	-2.299331E-9 2.598464E+3	7.347027E-11
13:01:53.907	-3.2E+1	-1.703894E-9 8.495854E+2	7.333284E-11
13:01:55.172	-3.4E+1	-1.888057E-9 3.246763E+3	7.171241E-11
13:01:55.635	-3.4E+1	-1.750056E-9 1.233801E+2	7.1734E-11
13:01:56.099	-3.4E+1	-2.38538E-9 1.92792E+3	7.240947E-11
13:01:56.563	-3.4E+1	-2.179417E-9 3.055057E+3	7.255662E-11
13:01:57.026	-3.4E+1	-1.631565E-9 1.143332E+2	7.273535E-11
13:01:58.292	-3.6E+1	-2.400437E-9 2.877824E+3	6.932745E-11
13:01:58.752	-3.6E+1	-1.469439E-9 3.970408E+3	7.075947E-11
13:01:59.216	-3.6E+1	-1.865148E-9 5.870988E+3	7.074977E-11
13:01:59.680	-3.6E+1	-2.039418E-9 1.162941E+3	6.996403E-11
13:02:00.143	-3.6E+1	-1.937473E-9 3.887683E+3	7.061463E-11
13:02:01.409	-3.8E+1	-2.107709E-9 3.379646E+3	6.862745E-11
13:02:01.871	-3.8E+1	-1.839483E-9 1.076792E+3	6.776137E-11
13:02:02.335	-3.8E+1	-2.270252E-9 -2.973838E+2	6.767202E-11
13:02:02.799	-3.8E+1	-1.470559E-9 2.457479E+3	6.933221E-11
13:02:03.262	-3.8E+1	-1.965387E-9 1.092027E+3	6.978237E-11
13:02:04.528	-4E+1	-2.292503E-9 4.730489E+3	6.807916E-11
13:02:04.989	-4E+1	-2.316383E-9 4.149519E+3	6.76673E-11
13:02:05.453	-4E+1	-2.498967E-9 4.243374E+3	6.665613E-11
13:02:05.917	-4E+1	-1.739412E-9 1.786605E+3	6.730722E-11
13:02:06.381	-4E+1	-1.746776E-9 2.153482E+3	6.705892E-11
13:02:07.646	-4.2E+1	-2.164443E-9 3.208107E+3	6.688949E-11
13:02:08.107	-4.2E+1	-1.940177E-9 3.688357E+3	6.588037E-11
13:02:08.571	-4.2E+1	-2.42252E-9 4.862428E+3	6.626237E-11
13:02:09.035	-4.2E+1	-1.928616E-9 2.897081E+3	6.645502E-11
13:02:09.499	-4.2E+1	-1.839774E-9 1.95306E+3	6.685852E-11
13:02:10.765	-4.4E+1	-1.965756E-9 1.456009E+3	6.495623E-11
13:02:11.226	-4.4E+1	-2.101971E-9 1.218424E+3	6.522363E-11
13:02:11.690	-4.4E+1	-1.918136E-9 2.753311E+3	6.53827E-11
13:02:12.153	-4.4E+1	-1.607652E-9 3.899758E+3	6.504662E-11
13:02:12.618	-4.4E+1	-2.380095E-9 9.681193E+2	6.617147E-11
13:02:13.892	-4.6E+1	-2.010885E-9 5.687549E+3	6.432291E-11
13:02:14.360	-4.6E+1	-2.323616E-9 5.097968E+3	6.375981E-11
13:02:14.824	-4.6E+1	-1.870012E-9 3.190411E+3	6.472999E-11
13:02:15.288	-4.6E+1	-1.933438E-9 3.005459E+3	6.431486E-11
13:02:15.751	-4.6E+1	-2.131915E-9 8.099959E+2	6.314389E-11
13:02:17.017	-4.8E+1	-2.16989E-9 8.754938E+2	6.317919E-11
13:02:17.480	-4.8E+1	-2.043158E-9 5.41117E+3	6.288358E-11
13:02:17.943	-4.8E+1	-2.094235E-9 2.214794E+3	6.316839E-11
13:02:18.407	-4.8E+1	-2.430713E-9 3.425723E+3	6.265508E-11
13:02:18.870	-4.8E+1	-1.825218E-9 4.628489E+3	6.214998E-11
13:02:20.136	-5E+1	-2.634682E-9 7.636139E+3	6.290723E-11
13:02:20.597	-5E+1	-2.001733E-9 4.464058E+3	6.24801E-11
13:02:21.061	-5E+1	-2.002067E-9 -1.560342E+3	6.230012E-11
13:02:21.525	-5E+1	-2.250122E-9 2.246829E+3	6.214823E-11
13:02:21.988	-5E+1	-1.492565E-9 -9.21819E+2	6.159947E-11
13:02:23.254	-5.2E+1	-2.449888E-9 3.954243E+3	6.089093E-11
13:02:23.715	-5.2E+1	-1.884947E-9 1.346512E+3	6.122581E-11
13:02:24.179	-5.2E+1	-2.226414E-9 5.941753E+3	6.171464E-11
13:02:24.643	-5.2E+1	-2.542055E-9 1.705732E+3	6.19607E-11
13:02:25.107	-5.2E+1	-1.984266E-9 1.314725E+3	6.150012E-11
13:02:26.382	-5.4E+1	-2.079386E-9 2.900007E+3	6.007405E-11
13:02:26.850	-5.4E+1	-2.079219E-9 1.13765E+3	6.040681E-11
13:02:27.315	-5.4E+1	-1.755424E-9 5.756893E+3	6.159687E-11
13:02:27.777	-5.4E+1	-1.971663E-9 4.716113E+3	5.955926E-11
13:02:28.241	-5.4E+1	-1.846886E-9 4.131277E+3	5.970428E-11
13:02:29.507	-5.6E+1	-2.981723E-9 7.729657E+3	5.878739E-11
13:02:29.968	-5.6E+1	-2.199344E-9 1.026048E+4	5.957583E-11
13:02:30.432	-5.6E+1	-2.395527E-9 5.103727E+3	5.965263E-11
13:02:30.895	-5.6E+1	-1.814855E-9 7.727576E+3	6.041694E-11
13:02:31.359	-5.6E+1	-1.627197E-9 8.175112E+3	6.060696E-11
13:02:32.634	-5.8E+1	-3.444897E-9 1.387961E+4	5.849023E-11
13:02:33.103	-5.8E+1	-2.51918E-9 7.916704E+3	5.838557E-11
13:02:33.567	-5.8E+1	-2.915426E-9 9.50105E+3	5.79689E-11
13:02:34.030	-5.8E+1	-2.8478E-9 1.193452E+4	5.861073E-11
13:02:34.493	-5.8E+1	-2.921042E-9 1.690578E+4	5.864544E-11
13:02:35.761	-6E+1	-2.454666E-9 2.047842E+4	5.555133E-11
13:02:36.221	-6E+1	-2.575414E-9 2.063232E+4	5.614306E-11
13:02:36.685	-6E+1	-2.055718E-9 2.248953E+4	5.509399E-11
13:02:37.149	-6E+1	-2.684175E-9 2.151934E+4	5.583318E-11
13:02:37.612	-6E+1	-2.57591E-9 1.9301E+4	5.479223E-11
13:02:38.878	-6.2E+1	-2.670616E-9 1.454902E+4	5.183016E-11
13:02:39.339	-6.2E+1	-2.188066E-9 1.916331E+4	5.219211E-11
13:02:39.802	-6.2E+1	-2.492514E-9 1.832727E+4	5.159535E-11
13:02:40.266	-6.2E+1	-2.69636E-9 2.015418E+4	5.213161E-11
13:02:40.730	-6.2E+1	-1.985967E-9 2.099328E+4	5.176696E-11
13:02:41.996	-6.4E+1	-2.928195E-9 1.178224E+4	5.007155E-11
13:02:42.458	-6.4E+1	-2.58377E-9 7.671688E+3	5.06401E-11
13:02:42.921	-6.4E+1	-2.576409E-9 7.273676E+3	5.040733E-11
13:02:43.385	-6.4E+1	-2.730553E-9 1.007435E+4	5.012746E-11
13:02:43.849	-6.4E+1	-2.118855E-9 1.483957E+4	5.044163E-11
13:02:45.125	-6.6E+1	-2.811946E-9 4.343499E+3	4.929143E-11
13:02:45.593	-6.6E+1	-2.727971E-9 1.415836E+4	4.938237E-11
13:02:46.056	-6.6E+1	-1.768484E-9 7.28857E+3	4.947417E-11
13:02:46.519	-6.6E+1	-2.677399E-9 1.020937E+4	4.913443E-11
13:02:46.983	-6.6E+1	-2.460533E-9 4.83321E+3	4.952993E-11
13:02:48.249	-6.8E+1	-2.901574E-9 4.639014E+3	4.921701E-11
13:02:48.711	-6.8E+1	-3.195673E-9 8.556441E+3	4.909403E-11
13:02:49.175	-6.8E+1	-2.024901E-9 7.165696E+3	4.826987E-11
13:02:49.638	-6.8E+1	-2.412538E-9 8.392857E+3	4.881785E-11
13:02:50.101	-6.8E+1	-1.796642E-9 6.419973E+3	4.867717E-11
13:02:51.366	-7E+1	-2.808077E-9 5.656647E+3	4.833216E-11
13:02:51.828	-7E+1	-2.311884E-9 9.527285E+3	4.816665E-11
13:02:52.292	-7E+1	-2.544506E-9 7.025342E+3	4.784223E-11
13:02:52.756	-7E+1	-2.634387E-9 5.439046E+3	4.758846E-11
13:02:53.220	-7E+1	-2.359467E-9 5.943547E+3	4.853495E-11
13:02:54.485	-7.2E+1	-2.299866E-9 5.760541E+3	4.752512E-11
13:02:54.947	-7.2E+1	-2.312591E-9 1.111434E+4	4.771383E-11
13:02:55.411	-7.2E+1	-2.217265E-9 6.23852E+3	4.82228E-11
13:02:55.875	-7.2E+1	-2.029849E-9 8.595065E+3	4.786949E-11
13:02:56.338	-7.2E+1	-2.614424E-9 5.930328E+3	4.74108E-11
13:02:57.605	-7.4E+1	-2.551328E-9 5.06666E+3	4.711512E-11
13:02:58.065	-7.4E+1	-2.448597E-9 6.39028E+3	4.703972E-11
13:02:58.529	-7.4E+1	-2.630645E-9 5.133212E+3	4.723362E-11
13:02:58.992	-7.4E+1	-2.28148E-9 2.079295E+3	4.714521E-11
13:02:59.456	-7.4E+1	-2.03642E-9 3.101965E+3	4.767391E-11
13:03:00.721	-7.6E+1	-2.761161E-9 2.169233E+3	4.660087E-11
13:03:01.184	-7.6E+1	-2.49198E-9 7.155933E+3	4.634045E-11
13:03:01.647	-7.6E+1	-2.435539E-9 4.504461E+3	4.673184E-11
13:03:02.111	-7.6E+1	-3.100177E-9 5.491367E+3	4.615418E-11
13:03:02.575	-7.6E+1	-2.436161E-9 2.841358E+3	4.649506E-11
13:03:03.849	-7.8E+1	-1.905905E-9 4.167417E+3	4.590681E-11
13:03:04.318	-7.8E+1	-2.917547E-9 3.735617E+2	4.661901E-11
13:03:04.783	-7.8E+1	-1.856537E-9 4.96087E+3	4.618625E-11
13:03:05.246	-7.8E+1	-2.236312E-9 9.957758E+2	4.627332E-11
13:03:05.709	-7.8E+1	-1.873753E-9 3.157588E+3	4.600561E-11
13:03:06.975	-8E+1	-2.75438E-9 4.139513E+3	4.576111E-11
13:03:07.436	-8E+1	-2.443272E-9 4.328832E+3	4.57525E-11
13:03:07.899	-8E+1	-2.750014E-9 4.194364E+3	4.546952E-11
13:03:08.363	-8E+1	-2.629938E-9 5.70802E+3	4.533965E-11
13:03:08.827	-8E+1	-2.220797E-9 7.938932E+3	4.551819E-11
13:03:10.092	-8.2E+1	-2.699564E-9 4.719249E+3	4.519352E-11
13:03:10.555	-8.2E+1	-2.393777E-9 3.964139E+3	4.470209E-11
13:03:11.018	-8.2E+1	-1.810035E-9 1.947926E+3	4.558467E-11
13:03:11.481	-8.2E+1	-2.469724E-9 1.528419E+3	4.548833E-11
13:03:11.945	-8.2E+1	-2.560562E-9 8.863154E+3	4.511849E-11
13:03:13.211	-8.4E+1	-2.90798E-9 2.681825E+3	4.518844E-11
13:03:13.672	-8.4E+1	-2.792396E-9 5.857881E+3	4.531809E-11
13:03:14.136	-8.4E+1	-2.175046E-9 1.474631E+3	4.535782E-11
13:03:14.600	-8.4E+1	-2.617046E-9 3.271484E+3	4.514112E-11
13:03:15.063	-8.4E+1	-1.736582E-9 2.542927E+3	4.504861E-11
13:03:16.329	-8.6E+1	-2.505703E-9 3.24235E+3	4.42814E-11
13:03:16.790	-8.6E+1	-2.472969E-9 1.566058E+1	4.45953E-11
13:03:17.254	-8.6E+1	-2.464192E-9 -1.944889E+2	4.463051E-11
13:03:17.717	-8.6E+1	-2.806078E-9 5.404526E+2	4.464115E-11
13:03:18.182	-8.6E+1	-2.289464E-9 3.890174E+3	4.411961E-11
13:03:19.448	-8.8E+1	-2.311593E-9 7.566165E+3	4.347276E-11
13:03:19.909	-8.8E+1	-2.037502E-9 2.429359E+3	4.503369E-11
13:03:20.373	-8.8E+1	-1.989381E-9 4.532013E+3	4.429172E-11
13:03:20.837	-8.8E+1	-2.295371E-9 6.865014E+3	4.380975E-11
13:03:21.301	-8.8E+1	-2.255191E-9 -4.060568E+1	4.412838E-11
13:03:22.565	-9E+1	-3.528366E-9 5.452331E+3	4.368728E-11
13:03:23.027	-9E+1	-2.987335E-9 2.506504E+3	4.348052E-11
13:03:23.491	-9E+1	-2.22529E-9 5.343031E+3	4.36451E-11
13:03:23.955	-9E+1	-2.461033E-9 3.175957E+3	4.374521E-11
