ATLAS17 8x8mm2 diode Pad GR float
IV Measurement
Measurement started at 11:51:01.292 04/03/2019 by Cameron(Kostas) on epllt004.ph.bham.ac.uk.

Pad GR float 23.1C
ATLAS17 8x8mm2 diode
ISO7

KEITHLEY INSTRUMENTS INC.
MODEL 2410
4303081
C33   Mar 31 2015 09:32:39/A02  /J/M

Keithley Current Range: 1.05uA (Auto on)
Keithley Source Voltage Range: 1.1kV
Compliance Level: 20uA

Time/Date (HHMMSS.sss)	Voltage (V)	Current (A)	
11:51:01.292	0E+0	-1.559472E-9
11:51:01.667	0E+0	-1.162779E-9
11:51:02.035	0E+0	-1.345089E-9
11:51:02.411	0E+0	-1.547365E-9
11:51:02.786	0E+0	-1.468131E-9
11:51:03.964	-2E+0	-1.518706E-9
11:51:04.346	-2E+0	-2.114806E-9
11:51:04.730	-2E+0	-2.06165E-9
11:51:05.114	-2E+0	-2.086148E-9
11:51:05.497	-2E+0	-2.053411E-9
11:51:06.682	-4E+0	-1.655016E-9
11:51:07.064	-4E+0	-2.050623E-9
11:51:07.439	-4E+0	-2.083112E-9
11:51:07.815	-4E+0	-2.076498E-9
11:51:08.199	-4E+0	-2.103701E-9
11:51:09.385	-6E+0	-1.567252E-9
11:51:09.766	-6E+0	-1.965441E-9
11:51:10.142	-6E+0	-1.549239E-9
11:51:10.518	-6E+0	-1.769357E-9
11:51:10.902	-6E+0	-1.79452E-9
11:51:12.086	-8E+0	-1.99655E-9
11:51:12.468	-8E+0	-1.705639E-9
11:51:12.853	-8E+0	-1.713533E-9
11:51:13.237	-8E+0	-1.8038E-9
11:51:13.621	-8E+0	-1.790117E-9
11:51:14.807	-1E+1	-2.051622E-9
11:51:15.179	-1E+1	-2.084445E-9
11:51:15.555	-1E+1	-1.870932E-9
11:51:15.939	-1E+1	-2.103323E-9
11:51:16.323	-1E+1	-1.97879E-9
11:51:17.510	-1.2E+1	-1.968016E-9
11:51:17.890	-1.2E+1	-2.110148E-9
11:51:18.273	-1.2E+1	-1.798056E-9
11:51:18.657	-1.2E+1	-1.825303E-9
11:51:19.042	-1.2E+1	-2.170539E-9
11:51:20.228	-1.4E+1	-1.762991E-9
11:51:20.608	-1.4E+1	-1.882245E-9
11:51:20.992	-1.4E+1	-1.725972E-9
11:51:21.376	-1.4E+1	-1.633216E-9
11:51:21.760	-1.4E+1	-1.68142E-9
11:51:22.945	-1.6E+1	-2.087313E-9
11:51:23.327	-1.6E+1	-1.682675E-9
11:51:23.702	-1.6E+1	-1.666824E-9
11:51:24.078	-1.6E+1	-1.644488E-9
11:51:24.462	-1.6E+1	-1.632259E-9
11:51:25.647	-1.8E+1	-2.010274E-9
11:51:26.028	-1.8E+1	-1.699972E-9
11:51:26.412	-1.8E+1	-1.662375E-9
11:51:26.796	-1.8E+1	-1.69877E-9
11:51:27.179	-1.8E+1	-1.839905E-9
11:51:28.366	-2E+1	-2.104527E-9
11:51:28.739	-2E+1	-2.066967E-9
11:51:29.115	-2E+1	-1.990223E-9
11:51:29.499	-2E+1	-1.999126E-9
11:51:29.882	-2E+1	-2.088513E-9
11:51:31.068	-2.2E+1	-1.70443E-9
11:51:31.450	-2.2E+1	-2.070954E-9
11:51:31.834	-2.2E+1	-2.051743E-9
11:51:32.218	-2.2E+1	-1.969801E-9
11:51:32.601	-2.2E+1	-2.009856E-9
11:51:33.787	-2.4E+1	-1.684501E-9
11:51:34.168	-2.4E+1	-1.656217E-9
11:51:34.552	-2.4E+1	-1.764988E-9
11:51:34.936	-2.4E+1	-1.753591E-9
11:51:35.319	-2.4E+1	-1.737784E-9
11:51:36.505	-2.6E+1	-1.623149E-9
11:51:36.886	-2.6E+1	-1.692526E-9
11:51:37.270	-2.6E+1	-1.630095E-9
11:51:37.653	-2.6E+1	-1.707461E-9
11:51:38.037	-2.6E+1	-1.825924E-9
11:51:39.224	-2.8E+1	-2.020338E-9
11:51:39.605	-2.8E+1	-1.906199E-9
11:51:39.989	-2.8E+1	-1.906489E-9
11:51:40.373	-2.8E+1	-2.072498E-9
11:51:40.757	-2.8E+1	-2.044836E-9
11:51:41.944	-3E+1	-2.097537E-9
11:51:42.324	-3E+1	-2.068211E-9
11:51:42.707	-3E+1	-2.147577E-9
11:51:43.091	-3E+1	-2.123367E-9
11:51:43.475	-3E+1	-2.073704E-9
